Iteration,Median Score,Average Score,Median Time,Average Time,
0,68670.2740099266,68660.9157731174,1.0465,1.115
1,68670.309264328,68669.6191162059,3.3225,3.483
2,68662.6967406644,68651.0750961919,9.0635,8.8795
3,68638.4703044444,68640.0529231504,17.907,17.15975
4,68640.4542015402,68641.8807682495,22.601,22.85375
5,68641.7829885484,68641.8546930738,36.773,37.71725
6,68637.6160869608,68635.5530153257,47.5045,48.37775
7,68653.7173584373,68649.6017695334,65.219,63.807
8,68642.1714339767,68641.2200286231,87.03,88.538
9,68636.5149016426,68638.4407998514,109.9665,107.36475
