Iteration,Run,Score,Time,Ticks,
0,0,71365.4896155125,0.486,1138149,
0,1,71270.5344938132,0.774,1810413,
0,2,71374.9304498172,0.287,671110,
0,3,71318.3140991237,0.386,904548,
1,0,71183.5976727942,2.423,5667791,
1,1,71271.3943539687,2.476,5790984,
1,2,71245.0482163108,2.511,5872458,
1,3,71194.5276101741,1.755,4103994,
2,0,71215.9384877539,5.879,13747973,
2,1,71251.1302593218,5.034,11773565,
2,2,71313.9705868244,4.328,10121340,
2,3,71213.1126765105,5.005,11703765,
3,0,71442.7897956884,4.563,10670907,
3,1,71291.727143191,7.655,17900558,
3,2,71291.8761165843,7.809,18260377,
3,3,71325.3379745547,7.693,17990931,
4,0,71232.2854625499,14.129,33039687,
4,1,71265.7747467157,14.035,32820188,
4,2,71204.8513101262,16.497,38577114,
4,3,71348.2994863535,9.415,22017462,
5,0,71259.6062290422,19.896,46524746,
5,1,71256.4436621514,19.999,46764686,
5,2,71240.7751503889,20.156,47133704,
5,3,71210.1874399919,20.004,46776766,
6,0,71379.6743704183,17.85,41741330,
6,1,71392.0272503758,13.377,31281117,
6,2,71277.6368423474,26.698,62430872,
6,3,71333.4841350699,17.84,41716511,
7,0,71327.4483995597,23.129,54083975,
7,1,71300.0864747101,28.825,67403589,
7,2,71256.9203208195,34.881,81566186,
7,3,71302.0569122932,28.738,67201717,
8,0,71328.3911588286,36.657,85718895,
8,1,71258.4633840833,44.14,103214921,
8,2,71233.4960779538,51.459,120329245,
8,3,71294.6391221485,44.389,103798065,
9,0,71264.8449672017,55.106,128858325,
9,1,71268.9259878009,55.968,130873715,
9,2,71286.5488832972,46.744,109304893,
9,3,71301.7501664121,46.634,109048386,
