State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
Initial,0.0226685522338025,0.0282100862311007,0.0371222527228202,0.017796121049513,0.0321427338573486,0.0152698593150686,0.0330566456723844,0.051557711838224,0.00882689230173347,0.00464819442222701,0.0310674571895348,0.023589901435323,0.00419552713967892,0.0299652898600469,0.0078513404763274,0.00297500207576144,0.003222765077363,0.0185940997495086,0.00839334130473681,0.0143471031271155,0.00734356493065653,0.0128380917802367,0.0230534778127896,0.040927743718632,0.0241878131500229,0.0419653022584378,0.0308478339571895,0.0127251483414178,0.033720245684003,0.0229889026119408,0.00308214784824568,0.00383926262950537,0.0188725756580621,0.00860161797701872,0.019959961437215,0.0162449277069458,0.00835845087280963,0.0427327306461708,0.0467932382753094,0.0020219292215545,0.000205360839637399,0.00917782389424385,0.0308139078042492,0.0152286555695464,0.0201647455764543,0.0187183898930959,0.0244230953094836,0.0353452151994179,0.0105108965005513,0.0188060658155379,
Transitions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
0,0.0142533023189758,0.0135930674354597,0.0338300945310081,0.0377462945018419,0.00755726210573149,0.0123627511510192,0.017570760266008,0.000133475776017385,0.0196344871079339,0.0356620167128467,0.00238294149989501,0.0170064145556723,0.029293857279947,0.0323449457174433,0.0154307977307502,0.0294877967446866,0.0137220332825133,0.0244561094412505,0.02500891623379,0.0081465785259437,0.0241126817153094,0.0167420521159287,0.00493225864431198,0.0407769110057809,0.0366402469746651,0.0105648367209364,0.0345660202788388,0.0156140183632854,0.000460864531290438,0.0104091168804006,0.016331158779909,0.0405232123322615,0.023733968680023,0.0230124596992996,0.0317867669868569,0.0351011844636695,0.0333017353844436,0.00499647327447536,0.0232023822127428,0.0212968289643209,0.00370686048905685,0.00394475146618769,0.0124124013155956,0.0275211906527007,0.0261958017485089,0.0361564905986745,0.0379380662774213,0.00349802816514001,0.0102004332049305,0.0354581790489481,
1,0.0230355492792857,0.0283479042155364,0.0157847713865871,0.00577462711567218,0.0222837757676442,0.024952056692809,0.00188052468666914,0.0285853301361048,0.0177399977803003,0.034413480392935,0.00214584232497325,0.00380404570617128,0.00651013806980364,0.0238578383337533,0.0362846879658463,0.0140759616847065,0.0322436241239215,0.00799782278528951,0.0243341174185014,0.00157052969627784,0.0165779007152248,0.0157546636767559,0.0327544705315571,0.0174877396814229,0.0167781715999937,0.0378516644239017,0.0255895882056352,0.00209609305294694,0.0224503857995647,0.0232999047242784,0.00711844865870467,0.0101348864894109,0.0372344335193227,0.0358606703059411,0.00480567105633911,0.0107590276686437,0.0299808382674483,0.022626860792657,0.0159571237155149,0.0142831018389003,0.0245728694452227,0.00948240470302751,0.0075714722251391,0.0345258246795739,0.0221666630841109,0.0370124323809912,0.044415658175609,0.0157431705551235,0.0244996555471462,0.021917870147946,
2,0.040982123109626,0.0121249691851215,0.0134475035628862,0.00783329900107086,0.033442103306311,0.035590491655394,0.0326857599522542,0.0248226719666921,0.0350243783118343,0.00246762675004882,0.00275938627265799,0.0311865400542377,0.00143489924875526,0.00775799853333672,0.00611079236746117,0.034040214865773,0.00822792455208182,0.0346594953788559,0.0239251032596853,0.00890647240783823,0.0285908438596942,0.024015825820516,0.0265192619384812,0.00519400419541889,0.024833294655609,0.0305344201441751,0.00158205759033041,0.0237182629093532,0.022370196698011,0.0372769062448554,0.00586851900001868,0.0361180363151057,0.0396680411859865,0.0361199043744539,0.00056802942761515,0.0368004094272423,0.00485372693806921,0.0119184549423328,0.0257218855121034,0.0344254372692364,0.0059485048554698,0.0193916185483255,0.0106238803738309,0.00774704571100729,0.012863945879779,0.0222652716426091,0.00882739064499872,0.027479206351955,0.0229350544431471,0.00941624213198146,
3,0.0270639844843235,0.013792498304436,0.0376787385807209,0.0381164977031966,0.0344309377551165,0.0261555779930238,0.0363680781161174,0.00495560582647094,0.0349982113551252,0.0221046027959746,0.0228450483869317,0.0287696909981081,0.0202794524332846,0.0333756088590636,0.0323502702886315,0.0230157255816223,0.013028607564105,0.0323487418091581,0.0146638672230322,0.0249025617709464,0.0459249050684202,0.0186940429999,0.0221661561436554,0.0314267253334511,0.0359854705645831,0.0329244502255475,0.00974754854446293,0.00395726347054629,0.0120653739147203,0.0101955886256999,0.0347279269510253,0.0277977053134134,0.0338049383541022,0.028430797604141,0.0332561956405229,0.0108558595464669,0.0239850329283971,0.0113693248211093,0.0158369710798377,0.0165939340252666,0.0035827306276163,0.0117244371817852,0.0208610803523807,0.0269963831754774,0.0289586343851525,0.0294552492386311,0.0265979761368749,0.00214325405473572,0.00759157146580596,0.0330968176352404,
4,0.023540621161207,0.0196606020001355,0.00764722051146383,0.0382885103080998,0.0257489358699886,0.0106105240003879,0.0122137070685915,0.00859676479233016,0.0278204516797596,0.0193487276825341,0.0117246778713748,0.0340435295983415,0.0323914127470875,0.0137913930145038,0.000759614803085003,0.0296352490715925,0.0367732392937156,0.0232505706127576,0.0349870620485005,0.0134147349876689,0.00715165254259719,0.00506053781697635,0.0272380477144541,0.0273165930784767,0.0369085632520276,0.00438796028497193,0.0130197577073234,0.00338780259312128,0.0338466905520747,0.0248054814798228,0.0264123694597897,0.0151049397632765,0.000871589369714988,0.030160668943896,0.0216488331598596,0.00888285929327506,0.00719494583342857,0.0276246518948022,0.0140503349876028,0.00720887566945179,0.0348875949564395,0.0220608614479937,0.00142586039276597,0.00686931183918138,0.013193115753437,0.0268772352105477,0.00234715088692693,0.0376435340414493,0.0307453172450328,0.0144484431672666,
5,0.00527732486640684,0.00790395418417954,0.00238969490527865,0.00132553050313203,0.015645944319858,0.0185042586817139,0.00835729115413998,0.0347791982830386,0.0340151484522752,0.00453717827472626,0.0212476683468059,0.00969874823439339,0.0213221741915538,0.0100801727969901,0.0126680886142489,0.0316332450229857,0.0305408245894574,0.00885068333498998,0.0338890235682348,0.0410144515457142,0.0286436925405427,0.01694359499822,0.00256972397957679,0.0103575527644803,0.0109336829649663,0.0029202975262796,0.0137420464747008,0.00948567723165989,0.0272810582891296,0.0252811112845037,0.0149145145094163,0.0298941589472857,0.035536971292059,0.0257741397843751,0.00914899083440852,0.0197165710482056,0.0212956782863445,0.00238130842434461,0.0279837140142406,0.0313541718865832,0.0135850014174638,0.044110601861085,1.04865624728719E-05,0.0227109790003521,0.00447272044416677,0.0154688863403279,0.0178876393537222,0.022379632762696,0.0218341766610619,0.000307688553819798,
6,0.00380977910958721,0.0381186664430075,0.0271463348772297,0.0202419662124176,0.0126130651692515,0.00602931950099566,0.0386846885017277,0.0181002313216333,0.0235146394600266,0.0345638427700728,0.0315078054576226,0.0318417439061362,0.0170380673195345,0.0392374151778883,0.0124672254544221,0.0190688001245767,0.0333736568772333,0.0172005642871027,0.00403053169775748,0.006450541248547,0.0303729448826738,0.0276510509802137,0.0189476308547321,0.0228043511476483,0.0390929834401907,0.0422726371017343,0.0364129150263231,0.0306570090164287,0.00475138235458128,0.0195379794349505,0.0118182254185776,0.0364633425523743,0.0345563587250709,0.00830719351283578,0.0312748057491329,0.0235925665629098,0.000401743150688906,0.0372806040194467,0.0177586108642388,0.0331334545358331,0.0370085580209088,0.00635514600325897,0.0352783520633738,0.00674026227142459,0.0234368123002286,0.0198663587519069,0.0199287593541307,0.0199461532876347,0.0071133882982942,0.0344017498141874,
7,0.00353676849488383,0.0267116059270537,0.0196336915379112,0.0308619079385058,0.0297463879250134,0.0103911410242412,0.010093509434356,0.0325294721582546,0.0044069594168805,0.016650567927482,0.0368624914579683,0.0261431546503854,0.00482303083044783,0.00982032351148135,0.00629467158675861,0.0137545340593783,0.0070444339703092,0.0339910374280703,0.00739635005696389,0.0168142163602141,0.0012413830496034,0.0180957481853481,0.013877444550122,0.0101751313969397,0.0229997088800948,0.0271890469267533,0.0148731737512731,0.00319771290339964,0.0131220658723039,0.0186193978645889,0.0305752192256645,0.0167521855854218,0.0234506820541941,0.0161559236980932,0.0264564820314069,0.0132778269625219,0.0100881004981139,0.0189323620764155,0.0206211039084836,0.0243419825007232,0.0117751887187514,0.00779934652836371,0.0339376528866839,0.0114206476770441,0.0224467177309413,0.000611529102822901,0.000826845939111217,0.00454533887549585,0.0258804192711266,0.00866495845080599,
