State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,
Initial,0.000537992906575656,0.00474709674167925,0.0424754410422363,0.0255897751983489,0.0098060992664064,0.0326692505816983,0.00620490733413446,0.000760351472429893,0.00597277830898726,0.0160055641950341,0.0074964348922377,0.0153497879058004,0.0393178407147384,0.0281642990720947,0.00820143134944454,0.00916637456554991,0.0150966898736752,0.0223079046137327,0.0296263644164731,0.0124533382645782,0.0297620647666043,0.00839315826406077,0.010240790511832,0.00984169210057384,0.0150449134381067,0.00443110926928964,0.0307008398421084,0.0176065532947944,0.0203881186656182,0.0217849974005578,0.00170305864980846,0.00695971204756464,0.0398393189801964,0.0135029934753389,0.00894917606578883,0.0143377347849098,0.0269114303436949,0.00925124102015795,0.00716003743768557,0.00786159347090014,0.00851768790075141,0.00486345885243064,0.00999215281337855,0.0216509276497785,0.00330392728670468,0.0047089619918552,0.00925631623819379,0.0139110257296906,0.0189147960325209,0.0271589906448374,0.000460004402199676,0.0081822911707428,0.0104549852974711,0.00411246613333911,0.0211599717910893,0.00666733556777655,0.0178483136370071,0.00155178799293861,0.0058843398038042,0.00952143688676199,0.00190428595061776,0.0168132967443499,0.00700057606956858,0.0235848956189641,0.0251344133780526,0.00199889322342452,0.0273921648981689,0.00881799103368099,0.0247649760114512,0.0178470727030029,
Transitions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,
0,0.0185101889915259,0.0270959136178672,0.0260234845726459,0.00340063769664579,0.0132330834452036,0.00451506448126906,0.0143085759990396,0.0104102780273485,0.0133628926176078,0.00256817348500232,0.012762114377855,0.0194505838851009,0.016120167765658,0.000476176749007262,0.0142997298730038,0.0281639900384452,0.0333555160325738,0.00163960253443973,0.0192570557741053,0.0084567809978794,0.025089307262981,0.026405523331175,0.0232136513737955,0.0255655455626349,0.0279495535469711,0.0279298650912769,0.0262839288607723,0.00342298803925214,0.00627066397741235,0.019441786979347,0.0104523141227152,0.0225085208141744,0.0238899694139366,0.0218911863617603,0.0161266746187154,0.0220769028494756,0.00311484383923966,0.000304496657292905,0.0240969337770565,0.00702743501767738,0.00582395534736823,0.00299566468150994,0.0277130531870963,0.00150381964036516,0.022143672083835,0.0184326957073658,0.0153815253800903,0.0292610515588941,0.00694656001291864,0.0119910563631929,0.00424870274905606,0.0193249751268124,0.0315294803919961,0.0278846070919514,0.00628666303399802,0.00419469012666565,0.0119093722977966,0.0258567317269942,0.000870162191287039,0.0201921284881451,0.0311880357193202,0.0113758184692126,0.00628179261779968,0.0197539906286079,0.00965262436446026,0.0170922472453995,0.0125286740898379,0.0158152728225122,0.0124815730337596,0.0278725539319133,
1,0.0190070910152114,0.0195435243762016,0.00351155476054322,0.0108643486033238,0.013537665262013,0.0302927067812266,0.0189495555143045,0.010446125891078,0.00168902283714869,0.0247578241479091,0.00136540132314541,0.00738106223880611,0.0268174230078489,0.0180823062760772,0.031797497810316,0.0228731181521777,0.000963548061334692,0.0212243778117139,0.0261297234583538,0.0254268425063048,0.0318622031278972,0.00698388670874157,3.65410480076805E-05,0.0260696638123557,0.0152829432563652,0.0254048357787815,0.0289496171591529,0.011775948889026,0.01747736791743,0.00721012257061419,0.00773528309397074,0.0169656902592229,0.00589604406093539,0.0276397372873443,0.0154896776078875,0.0134300151614531,0.0176389676559816,0.0238965073240232,0.0188302358878522,0.013243428841675,0.021765732928452,0.0307114599931653,0.00176555058021541,0.0242971333384885,0.0167769433053897,0.00462878772119195,0.0275817788621017,0.0307207751377183,0.023114172426471,0.0166617020181451,0.0325881090160488,0.0174371572946095,0.0297782483850683,0.0266649405942953,0.00804131028864956,0.0345841172462489,0.0240774399702736,0.00574717801042068,0.0293670590915734,0.00364968672010778,0.0325077963492531,0.0283540941302982,0.0145535762637946,0.0238463939658365,0.0254737683629281,0.0137669977074884,0.0239484602058391,0.00640786789639152,0.0169788342975191,0.00383800862381718,
2,0.0185987347964382,0.0185582963087564,0.0108368107308298,0.000659154032765664,0.0129013081782931,0.01310765524497,0.018188326332732,0.00127861225392982,4.24810963500616E-05,0.00414048076517893,0.0185863278450583,0.0273181307570317,0.0172516537089855,0.0200338837955489,0.0123185673244607,0.02110943372424,0.0073842948557026,0.0221840581726691,0.0135003701826661,0.00497206984124706,0.0179128111459846,0.00608605295475674,0.0104596404259138,0.00887891384490423,0.0195056237646666,0.0027572400916645,0.0162586168190734,0.0149256435310684,0.0257298249879933,0.0164840584014027,0.00442198599292939,0.0157901176927366,0.0101887231161782,0.0115315926909356,0.00519381031332509,0.0125300224722911,0.025465727957447,0.00777955903497111,0.0212299713509858,0.00777207479788941,0.0226070856182287,0.00598099769498987,0.0121468861546938,0.00701790211871667,0.0196365093209591,0.00368392691617113,0.000735338261550569,0.00514373000975018,0.00300008899731926,0.0254169907722291,0.0205052801673775,0.0160381750525268,0.0216220049387325,0.00126904172327264,0.0111182394198014,0.0179616094232177,0.0194658092613032,0.013202674063126,0.0247098768147642,0.000858339190910979,0.00643929685170763,0.0202579078490325,0.00279524382962066,0.00816938763954374,0.00850599182668347,0.013473622506673,0.0147869377271154,0.0150079483724494,0.0080564846044267,0.0134776452800289,
3,0.0168360962509047,0.0236333814658577,0.0100094365560189,0.00871849281714737,0.00716799537746092,0.0111110461515291,0.00546212960607512,0.00619011741444856,0.0255431461226536,0.0120251326687334,0.0155496444012612,0.0190849832153316,0.0221883614971744,0.00639274900769476,0.0226201986815304,0.00513532877233218,0.00441868412213892,0.00651401869605337,8.01837453817721E-05,0.0121288253776623,0.0168262620297324,0.00319942350064506,0.0242438301305027,0.0125548444718881,0.0161461925267867,0.00700711714317736,0.0198203040799425,0.0105249077834302,0.0130848870081714,0.0254104974565371,0.0222892445846981,0.0102230149131147,0.00192157002624181,0.00183899588202006,0.022969766964267,0.000885376646905117,0.0164892364996858,0.0206004730455455,0.00742677317609047,0.0119820879942795,0.0207483291499695,0.0212231847971537,0.00914199898434069,0.0218157735862211,0.0133794820327607,0.00383758134513103,0.0164185546013278,0.0232430766812277,0.00348142622963428,0.0282192925253012,0.0183505241140487,0.00457734301422649,0.0191864569120957,0.0157625284969066,0.0118210086360203,0.0103087398070534,0.0210612074940009,0.019666058434791,0.02274042074586,0.0237264844808167,0.000916253807158268,0.00133471286131052,0.00377740890659155,0.00783340818087803,0.0147320918957013,0.0134546703476358,0.0182433509902074,0.0235587061709141,0.0231095666475415,0.0185683790600589,
4,0.00542198077234502,0.0158931055502174,0.0184406732829651,0.00617928425976026,0.0199142270744832,0.0283769684265787,0.0110611718492368,0.0257159314121577,0.0127230430571544,0.0176954967619624,0.0225878942615404,0.0202108684616507,0.0233302531289723,0.00183726121904178,0.0166801348332657,0.00465568777332416,0.0320086439888237,0.0185290491961928,0.0313738074436356,0.0135126139612698,0.000358787438589173,0.00877934992199913,0.0045390178741613,0.00546567172174368,0.00283885194779663,0.000566678367815621,0.0223810538198339,0.0173096361483664,0.0136935845179004,0.00925223296398751,0.0273980375330547,0.0114189903228224,0.022106159974088,0.0110891999180105,0.0214513086213896,0.000159305415122903,0.0120284585321155,0.0257445456777559,0.0241285486122992,0.00742546105804522,0.029123622827881,0.00675954777785826,0.0207290850147002,0.0286472568875427,0.00422489810650211,0.0092103465575826,0.00640335808315395,0.0290354398295157,0.02021320989444,0.0264059685444814,0.0256427380955708,0.00877741460895566,0.0147427085333444,0.0225856743113299,0.00770271501785463,0.00257038713699334,0.00925099959493808,0.00834389574651285,0.00731495246986841,0.029945311568852,0.00343637437059218,0.0111849272933491,0.0149409963411581,0.000115787087874368,0.0118095899567299,0.0139697884013849,0.0104150944540385,0.000295184591887043,0.0135183346802345,0.00396516488048881,
5,0.0130212835120903,0.0158924407922272,0.00753574564283687,0.0225905760864855,0.00848868775793546,0.0147250176194083,0.0143421443532564,0.0267237828260396,0.0155096548148152,0.0170919058968051,0.00472469656076548,0.0111927736206911,0.0188481891074414,0.0155248082685894,0.0141470382432455,5.68188252171136E-05,0.00317682113153296,0.0122296297054685,0.0257286466408634,0.00174679995146675,0.0032075733853624,0.0226122659339095,0.00456452440992334,0.0121745052467552,0.00724726655574678,0.00070387820414642,0.0120418415477173,0.0109091534804795,0.021137658678528,0.0126852897718941,0.018745514808823,0.0164700433864895,0.00691812163489742,0.0236016918568792,0.0144031044538438,0.0215305521078329,0.00552702990610238,0.0253499473965517,0.00150967418546529,0.0148807905687424,0.0175853237361793,0.0070622005304123,0.0220639150554751,0.000752489596664982,0.00415306568741659,0.0128618127641304,0.00558830570416807,0.0166874409275658,0.00308837283719133,0.00926520005099218,0.0113095284944179,0.00500722713290781,0.0274414659341798,9.39833113429011E-05,0.0177806301280123,0.00585480286963902,0.0206986642254916,0.0182434071692583,0.0256955261340725,0.00395695742898751,0.0161002644628027,0.00822751460842468,0.0210014795786778,0.0042149900761856,0.00270951217306141,0.0207785917454299,0.0162565353761074,0.00373557925121352,0.00554203473172532,0.00396530941399663,
6,0.0238316837453392,0.00899870002437242,0.0213364810372662,0.016145318478325,0.00129618501713067,0.0235591215478763,0.0239781891578035,0.0302865459183721,0.0296049179325853,0.0140143984685719,0.0152639307246719,0.00441940418085226,0.0165161929496808,0.0290347973328369,0.00329185614658362,0.000991155869435408,0.0154390756294022,0.0154622265129128,0.03122233603149,0.0234870191050975,0.0125037847145461,0.0155589692599497,0.00370812459243793,0.022073536278743,0.019506689914207,0.0293980137118982,0.00878135733076767,0.0116810218937018,0.013060463207769,0.0219111582238058,0.0284826257632782,0.0177278104332561,0.0233465375477845,0.0061979980305833,0.006671527722747,0.0130157946385061,0.0187888531293309,0.0214938092432865,0.0214044769025442,0.009590484687085,0.0300341284639578,0.0234760411842449,0.0212958647434592,0.019864396328698,0.00792574811173611,0.017404489549065,0.0188306915287175,0.00065936933389929,0.0211298640814375,0.0121642640273044,0.000681540678617016,0.018279813804528,0.00787133336784155,0.0173921640417445,0.0202341387600146,0.00507443403645267,0.0152328124172742,0.0313356170227711,0.0125717887305079,0.0216318150535427,0.0303229537610524,0.0271595743375573,0.00514714606179704,0.0246848154498069,0.012452998703268,0.000440203526698562,0.00293853015863319,0.0302594799716034,0.0170766897637489,0.0135841618713782,
7,0.0113514150369469,0.00351863372752147,0.0184387486416968,0.0134395811246319,0.0161849182016423,0.00917676519579772,0.000238373091297183,0.0242006456725657,0.00469233968716642,0.0128088066604956,0.0119787476607443,0.000621050221774439,0.000827232255760715,0.011196901803041,0.00762896741257513,0.00596031548132506,0.0152444106858975,0.0051783451643071,0.00807603269104734,0.0196233455094696,0.0083100011742186,0.0108896042058585,0.0162908945217628,0.011366916820229,0.00233187020132074,0.0220295607490183,0.0131604644526915,0.0196436292655168,0.0129296660439755,0.00637165033278427,0.0203877585267229,0.0169905971680027,0.00829555472918826,0.00191031899554692,0.0224583430113782,0.0104873727255515,0.0119913565994584,0.0158030263448072,0.0124982917850779,0.0043656296562451,0.00643123533854972,0.00504561556420251,0.0179652390115124,0.0171780981190926,0.00343555156400855,0.0238460972444384,0.00271074663349147,0.00104350828682071,0.00987370892735731,0.00705861055514907,0.00736476644686233,0.0127366086521508,0.00965267009066492,0.0189223545162725,0.0168690940206888,0.0202894065485745,0.020411490479985,0.00199271928610201,0.0244051090028562,0.00888630248396944,0.0129646691858008,0.010040747068434,0.0100842443435197,0.0168063853477526,0.019111650313268,0.00518660306711063,0.0176446878930904,0.00952228191492644,0.0235252666634017,0.00788304788506282,
