State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,
Initial,0.00336846923171735,0.00420487121283497,0.00482789284921238,0.0237794374458428,0.0209229264303998,2.40568501163777E-05,0.00690940789977565,0.000376614316596286,0.00475990485875727,0.0284425332615808,0.00273994832805763,0.0381355729970756,0.00263192364687441,0.000975168607512903,0.00465812822221821,0.0329384622960265,0.000340923597169333,0.00132474253574518,0.00669861828936032,0.0282672909294679,0.00100076333057873,0.00117777413171394,0.14095718117877,0.0474578772734166,0.000215630431117366,0.00347980295095723,0.00156786188904188,0.00295777167755275,0.113072441067667,0.0260444971237705,0.0658370655146715,0.00690006666078825,0.00224426527659692,0.246592174735177,0.000439805157406696,0.0358141056300787,0.0158207838521184,0.0642871771371565,0.00687311331095861,0.000932947864117993,
Transitions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,
0,0.0305136074031834,0.000611543859174604,0.0442985521768759,0.0310728062213662,0.0211968980656833,0.0147878023786211,0.0221981311186225,0.0405850979775488,0.0437301318024135,0.0456274108463832,0.00287731727832451,0.024283344706729,0.0344454764447356,0.00367476945177854,0.0358995063515064,0.0225374609866504,0.0242452722440953,0.0254107727614418,0.0111659508339353,0.0118917679267038,0.00414095538218234,0.0403863333434876,0.0138580961721994,0.0229315171969885,0.0441746403443776,0.0290573824906679,0.0197886865871951,0.0205686397023636,0.0148658703415297,0.0190559159150902,0.0428159728062356,0.00337932456350308,0.00889672244516262,0.0140104964568348,0.0310105853150043,0.0153931767909684,0.00862655771327531,0.0303153317778246,0.00718235304351312,0.0147217004124249,
1,0.0153442279513673,0.0209394364822594,0.0324962243570619,0.016483708715969,0.0300676841120127,0.0300427178033078,0.0269680420928385,0.0384114212589341,0.0110374985637604,0.048831491036137,0.0101368478331943,0.0382145557270529,0.00376006451171364,0.0288131602090492,0.00146260142584498,0.0343798096670241,0.0276154780542035,0.0294988733999302,0.0335142222494523,0.0172340151914808,0.0125723238141614,0.0371175014903051,0.0735354649448854,0.0449313665089186,0.0381010364866467,0.0192134116893685,0.0291301826376467,0.00526660073361364,0.0169841726561371,0.0110009474896354,0.055974394273792,0.00242343412064772,0.0352507160155283,0.0448765180744629,0.0293976376468281,0.0426920842457102,0.0745678503797104,0.0425184251551522,0.00439849868747888,0.0319717849829208,
2,0.0187865433458655,0.0219203017808039,0.0128657068707558,0.0388022263649799,0.0371260468742355,0.00763290804666898,0.0133723036509388,0.0270639799135537,0.0466915574127209,0.0238227052510595,0.0301817888077762,0.0143403415453647,0.00729630981914286,0.00551357462664777,0.0396786755838894,0.0281310344410213,0.0263177604916038,0.0114974885436968,0.00716122253165649,0.0341618870188822,0.0052495959520506,0.0349083592518541,0.037224013300302,0.023051199144996,0.0167221255629414,0.0397842173264449,0.0271660993302499,0.0117418474438492,0.0580471882955899,0.0325977249898728,0.0418766972296704,0.0293164743307118,0.0456794380972691,0.0249798640082898,0.0195567176079586,0.0334969422509767,0.000434659163951062,0.055230679159223,0.010256735103201,0.00604398344948529,
3,0.000555516694653965,0.0283094269522281,0.00210262678961224,0.0227161235666101,0.035417746513075,0.023542141317031,0.0249920454468677,0.0469184823366769,0.0223861184685706,0.0141753414858346,0.00540233018563053,0.0190959963422123,0.0331342839475394,0.0488500713206501,0.0139322331849356,0.031593334680212,0.0183623329054224,0.0560947030183321,0.0105972621681609,0.0304012211212016,0.0182687487901435,0.0259971687921407,0.0224620936645816,0.0394890590788367,0.0417868798559691,0.00763187406106285,0.0428857375888188,0.0134391254711121,0.0179207996500381,0.0419121012459743,0.0104193933729411,0.0162556293385182,0.0420555618170019,0.031092783572757,0.0269752200855333,0.026824612759381,0.00110602668432545,0.038186288327657,0.0402212711828545,0.0203654784171479,
4,0.0303823216810969,0.0386627025986816,0.03921102778783,0.0308010104001565,0.0250904667890826,0.0163028059483655,0.033767714361195,0.0402813606920983,0.00944567746954893,0.0119211616992459,0.0438303121984369,0.00957979748733298,0.0449505238791922,0.0372843588514459,0.0493412975441359,0.0460552381884894,0.0450694124778201,0.0177731929792264,0.0300655109551758,0.036223343579445,0.0243048196088364,0.0338928130582121,0.0372398781150357,0.0332269863869023,0.0139810508405922,0.0431541038679856,0.0101692538662054,0.0508974095628452,0.0211363761056449,0.0314977950986806,0.013660839264426,0.0298867027005611,0.00788749639404187,0.0256661448971992,0.00690606725068298,0.0359006386387725,0.0386806009236788,0.0285985490894612,0.00873131633451322,0.0429194384972752,
5,0.0604175875260689,0.00138342730526611,0.0370112341774902,0.032326406546913,0.0376045914885334,0.045184734856423,0.0393999398647908,0.0408649223030509,0.0434218350342787,0.0143172872629335,0.0445082720084109,0.00418579173039603,0.0589065722231356,0.0417071019940488,0.0277723384148396,0.0307726840399776,0.00768498318756169,0.0239256891638042,0.0409614279275003,0.0274915047351625,0.0143765506957141,0.0340313282919302,0.0268611521422263,0.00719605708919878,0.0138106864883667,0.0215905522535396,0.0074065838088834,0.0610805977446812,0.00901446794759732,0.0128478268944427,0.0195619710258125,0.0273926176197934,0.0530446102088918,0.00799925565423635,0.0470297875938101,0.0179417616536531,0.0145830632429036,0.00309962677565602,0.0374289808998757,0.043985723839004,
6,0.0171639652100555,0.0318872114526068,0.00760808613182558,0.0406284470857885,0.0189127973614363,0.0179183626895489,0.0353070728252678,0.00951474664414819,0.0189446405961246,0.0251824537647564,0.00356843386310836,0.0434036170045163,0.030276175085747,0.0187325612762559,0.00780270088961757,0.0150600616525337,0.0341205476445016,0.00428682568289386,0.0279507142394624,0.0221851762821189,0.0221950924013892,0.0386674110747021,0.0139836819154196,0.0327684589553024,0.0416768845213518,0.00965731417947928,0.00171727358472943,0.0283009284758986,0.041023958945693,0.0325254927891404,0.0202806634674885,0.0312557584412139,0.0064412340806432,0.0686839305970864,0.00984418125520664,0.0124043102920756,0.0380517801698988,0.0405345125864651,0.0128703503085827,0.0151596126033053,
7,0.0117479517595452,0.0316280962580243,0.0549631236993855,0.022466080662108,0.0399899959175325,0.000794677647123772,0.0457762720933311,0.0355408866253096,0.0245935900740307,0.0419190322035687,0.0649462454798927,0.0688099294985182,0.0229549818091378,0.0231425604294757,0.0380285568473967,0.031848959030815,0.0254738721290486,0.0502870188962115,0.0039863316482763,0.0109468372652596,0.00667730742805418,0.0383812856148474,0.041083484680976,0.0354614335870498,0.00456184852723213,0.0353057203860057,0.017992691915808,0.0397128489775012,0.0496120460490386,0.0202800025827149,0.0519654242139257,0.0485411679184117,0.0350683980940826,0.0102972958536251,0.00628879165650026,0.0619764440912045,0.00915269766210931,0.0834269967086225,0.0660442035548136,0.0301776694991365,
