State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,
Initial,0.000178387428678627,0.00729761402220109,0.00790079681009469,0.00546535379957327,0.000296359316532633,0.00264621230101383,0.0225285550485117,0.00353755814018481,0.00383627883663716,2.6880214691481E-05,0.0361730404348635,0.00366710065041549,0.013087673045222,0.000462272939899806,0.00144798323339667,0.000530339417655637,0.0033106125708556,0.00633713774483031,0.0053833833856397,0.082209591491444,0.00834370705007146,0.00331140097823958,0.0027020338140051,1.26541781024841E-05,0.0853520908355112,0.000360077419918561,0.0059619165226134,0.036359983474362,0.00293969896499635,0.00620316451613374,0.00127800101333482,6.78590792667529E-05,0.0109532128103383,0.00117022366105586,0.071142046634754,0.0081111325290139,7.34916048140832E-05,0.00380876896528894,0.00224612097607357,0.00326751446555639,0.00095177559339371,0.0036717974485323,0.00770398448950059,0.103812686270153,0.00359213888176098,0.00551282585360854,0.00410013803749336,0.0262417209220599,0.0188191981498489,0.000590646682974172,0.00521607718038302,0.00613236671323268,0.000961754717025684,0.00097131298172464,0.00236803178430309,0.00154363155678099,0.0190799291323277,0.0122305278112758,0.0252682500320859,0.0158512375939014,0.00403287548026807,0.000341579035048776,0.000280600750989802,0.0356674151598885,0.0173572651567708,0.0172519222683258,0.195321389865558,0.000260658947248684,0.00225976218595289,0.00261826899178924,
Transitions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,
0,0.00553934404598475,0.00624667938723369,0.00515918382394939,0.000555805578177767,0.0118727096643119,0.0133750369396953,0.00961363215189488,0.0245971922233105,0.0166527379608782,0.0118001312216056,0.00921145680035465,0.0160887315774308,0.0124817124212877,0.0109746115511085,0.00582291406822139,0.0258870256463787,0.00443971294912672,0.000407390390545389,0.0198237101623619,0.00300466165498457,0.0111783475337953,0.00657467797720566,0.0248580280537161,0.0174673272960161,0.00225857371218122,0.0217575201191546,0.00846466385894403,0.0145104088026995,0.00757676662782552,0.0347055721591005,0.0118123562109837,0.0245452058013963,0.00844070591652538,0.0277180353260406,0.00747211886347248,0.0188285804442896,0.0164464999973449,0.00238461227953315,0.0151628378595315,0.0159125745552229,0.0233385646374436,0.0125264273223092,0.0147661166100677,0.00058686954303479,0.00179451403552783,0.0120579813433123,0.0233886782305348,0.00765710508061115,0.00907189795375219,0.00326544206865473,0.021411048746212,0.00279854120982894,0.0112306102767733,0.00314239242193997,0.0180978366681901,0.0147258624991767,0.0164078471506987,0.0122135174128906,0.0193806439680343,0.0277194878089949,0.024221101594839,0.0200159673030457,0.0164099513969384,0.0158714680973646,0.0111607770352385,0.0134743715637162,0.0171630021193759,0.00845955098575101,0.0134945994571273,0.0229690145734825,
1,0.026021084558628,0.00821312111906377,0.00802471875243115,0.0237631526302059,0.0210640278489372,0.0237147947938621,0.0211813567548461,0.00740354966128262,0.00975805088431654,0.00571451890112165,0.0202617074052028,0.0107294261620908,0.00659990545662946,0.00816659387477635,0.00733198758431867,0.00907763044000753,0.0171031087988144,0.0191961962189461,0.0202433734067502,0.0291364242779143,0.0231514136515113,0.0122408258865701,0.0231455920818029,0.0110957912798946,0.00599413077334445,0.0142248133318282,0.0209922473739263,0.00424197208890818,0.0262328265196357,0.01126320973773,0.00552052741935754,0.0323451786094676,0.0124464480256345,0.00520198902752821,0.00579391351811576,0.0144540856668132,0.0122401806454572,0.0126944501860202,0.0149954643733804,0.0036098666586849,0.00825084237098701,0.0100989161764204,0.00418744666085569,0.00854501887826569,0.0205616637144528,0.000762409721007506,0.015645614243361,0.00979680228852461,0.000937096469290717,0.0139731839429907,0.00541489803603814,0.0235782715497847,0.00783393051455568,0.0186271032322332,0.00935525794457652,0.00456589819004165,0.00955076891014859,0.0261140689530088,0.0167328231142604,0.0102998755716962,0.0103796231823988,0.0103937640411597,0.00999557469905707,0.0206553919966647,0.0228406313617363,0.0209204131295967,0.00946333093652796,0.00209769093171694,0.0210175170168014,0.00559926783214187,
2,0.00294061912274691,0.0237771128774409,0.0275807237047781,0.0160870691312963,0.0163206767301183,0.0275955042344191,0.0173219464560715,0.0224960208553615,0.0240106721778968,0.0244586203801598,0.010255271070554,0.027995847456128,0.00960787917161271,0.0199271337128716,0.0242437729549174,0.0125404668484363,7.02182117329024E-06,0.0260890953184163,0.00637906936691424,0.00704855775552448,0.0154106425078204,0.021048731817364,0.0321637942457987,0.00310688235656876,0.0160530594393502,0.0269164329202221,0.000466230506048153,0.0183314863868449,0.0149154062574934,0.0289281307172604,0.00194112909663013,0.0227657039507683,0.0168572598425728,0.0134756961276609,0.00401528759597512,0.0312291236013466,0.00877586986745205,0.0174913689665688,0.0149742802868307,0.00214807697484547,0.023404328998476,0.0285050577371548,0.0115879058363643,0.00534083006594206,0.00137713934066889,0.0209945457243913,0.00699974502919069,0.010758756101736,0.0135233583752181,0.0319363776449412,0.0254228383584273,0.0237429570512792,0.00839310236430593,0.0205010863732443,0.0137866729862477,0.0297576100247991,0.000156154984541791,0.0143574186419727,0.0138149091685046,0.00207522858308109,0.0265242749754908,0.00329687507454751,0.00730661398507688,0.0157765081052274,0.00559024912447711,0.0196025794897129,0.00357739541947152,0.0386438423041884,0.02480836669588,0.00225196569907303,
3,0.00310584339477414,0.0239057109013502,0.0016588490141839,0.00833181288794176,0.021813233103565,0.00796070893406709,0.0265358073179268,0.0108797475746705,0.0179814199226281,0.0107313728890935,0.0281533347277984,0.013102883723009,0.0251547047439976,0.00819181741837844,0.015088397611859,0.0209860648633231,0.00316840374054321,0.00961470904146971,0.00734133865910315,0.0200976132577573,0.004636191312026,0.0102890258413541,0.0244404788450295,0.00208042961763771,0.0288241960315303,0.00198446957041705,0.00336279751108715,0.00212150935657327,0.00735162288184257,0.0133741174445969,0.00485771259804981,0.00215255023585587,0.0242920542571962,0.016767422087441,0.0153340116144271,0.0175691887614613,0.0133216371426202,0.00305125500784408,0.0232294744481701,0.0190077486838112,0.0133360645351114,0.00955967788704954,0.0206931461914964,0.0203334831064948,0.0245975133168765,0.00693094013796194,0.0218042599348131,0.00603240927102103,0.011614122120639,0.00196365945940851,0.0113930288629005,0.015315608360356,0.0152131506486688,0.012193562978047,0.0103444706719214,0.0127479008762102,0.000147253211272829,0.0261159453426134,0.0216940791780473,0.0223260574026923,0.0251567735044479,0.0233013556824711,0.01327784216735,0.0104552682277322,0.0234101129791577,0.0292524452652157,0.00296147890174745,0.0106097320721409,0.0148637218016416,0.00841813568618401,
4,0.0159520260170492,0.00016046064952208,0.0221488063196626,0.0216178366494234,0.0116782855713975,0.0235521730082123,0.014692544170052,0.0155357384890291,0.0186032581416368,0.0309014422206772,0.0123746855500205,0.0237712268679439,0.0197721963584377,0.0198306702703865,0.000837330438316491,0.0233371516160412,0.0175926279824017,0.00648168603904015,0.011048721995737,0.00210417686204929,0.00193936431950794,0.00458946966409079,0.0365900388665051,0.0326512857787892,0.0213934115637599,0.0168220874980861,0.0214954954535593,0.0235361478064521,0.00591917149388213,0.00996473473795078,0.00736362556720803,0.00723378087087223,0.00706837889955087,0.00445373600425113,0.0288457768542351,0.0256189957272999,0.0253977326579915,0.0226122877772349,0.0161268506446782,0.0278695793264187,0.0189794330136055,0.00118255965901855,0.0279217154703474,0.0217465229273623,0.0036885601222608,0.0220345999961395,0.0114618588302156,0.00622125771497647,0.0121099336794382,0.0122780445960347,0.0165752919827547,0.0111464651023127,0.0220138106039516,0.011966362667026,0.00496477507208297,0.010608840050256,0.0123033391006661,0.00229111584876909,0.000552690981112682,0.00843123119171252,0.000388321966732155,0.0195020500202771,0.00924446595142048,0.0300057578760326,0.0244819176452119,0.0245224817848609,0.0151201560654777,0.0103167395230613,0.0293208229569986,0.00975891522191851,
5,0.00444384613330046,0.0129505750202091,0.0317569955218368,0.0352288759684194,0.0195099707983697,0.00546839255061971,0.00560197320924312,0.00548145636650938,0.0173804852848119,0.0165363782013643,0.00822534160825614,0.00146229578892798,0.00531205523547202,0.0153783670045004,0.0161457522091772,0.0099529386591468,0.00615596847185996,0.0208646688507881,0.0176138808432346,0.0121066844815004,0.0128983720330002,0.0202828646786706,0.021173444652429,0.00584553930058014,0.00801066922938348,0.0171087083928232,0.0195696601147711,0.0175650196932361,0.00729897593915944,0.0266409812596165,0.0155242191928984,0.00453855229866402,0.0182336977969129,0.0155700996770454,0.00243966233465663,0.0211951617166766,0.00696454805974204,0.0223812882736484,0.0282198144774383,0.0197642493845435,0.00138863775461669,0.0145633806692194,0.0060414740138716,0.0184211901041131,0.0253707266058723,0.0231537334886846,0.031745835555363,0.00778062408694903,0.0115295815012948,0.0150581228980334,0.014967895911019,0.0270028211419235,0.0220583014786246,0.0123919254225017,0.00406771706894337,0.00836048085501109,0.0160808271909733,0.028965687919777,0.00423566226895745,0.00144196693844511,0.0335265873373572,0.00758770947866253,0.0265567393874448,0.00568724326769003,0.00735989782748576,0.0232921451907373,0.00877807739784577,0.0344070071697517,0.0241740311777854,0.0301450578059723,
6,0.0170828297437878,0.00604530337552274,0.0136301465958601,0.0316192609614136,0.00350605861270781,0.0153711553407669,0.00967943783964448,0.0225554374727451,0.0143510251759789,0.0272536439270008,0.00308318355724106,0.0110468305955215,0.000285864493062572,0.0211949491933092,0.0192286543971005,0.0148876393642261,0.00723456363753361,0.0228121566039634,0.0183199688836907,0.0120276385690264,0.0171597741802642,0.0220118440507196,0.0119618758362517,0.017096882665512,0.00856118341648163,0.00758853134194451,0.00212400385421252,0.0161033588642178,0.0268468893733145,0.0056915337177872,0.00972257801819546,0.00590078550984658,0.00849251950730573,0.0152734651047359,0.00159011621085325,0.0305738309993535,0.0150425388327027,0.0108806977733592,0.0219645043619653,0.00513997167481733,0.0283284125959773,0.0177715069666128,0.028843439434688,0.0097907999002917,0.0170342010719959,0.00346063225400472,0.0227764452851494,0.0251984491402063,0.0140701906405399,0.0142269997242982,0.00523675694759679,9.97726882013295E-05,0.0197119113428779,0.00624502420496322,0.00178876392642255,0.0213311092125555,0.00860050114760467,0.0210037550695963,0.0169609984953643,0.00812096613249233,0.0177852388991245,0.00280971593206422,0.00246389949798161,0.00200633210905114,0.0188299800884616,0.00402912756354362,0.00219638478590309,0.0362778600056776,0.0226062814689466,0.0135109162380255,
7,0.024569719730464,0.00385325269953418,0.0173339996915519,0.00888448102750827,0.0296517508548915,0.0148000180600073,0.0191738761966422,0.030995924342478,0.0147992621069742,0.0235918714190264,0.0125969395617115,0.0275486194271906,0.0103547337039403,0.0184586062772776,0.0253875139035685,0.0130066135886882,0.0046900285776145,0.0144381624792164,0.022770385251532,0.0204172350442341,0.0142991536698016,0.00766946487197654,0.0059912872187102,0.0211746370935812,0.00725018895775506,0.0103982561902838,0.0192291296377893,0.0158385951659667,0.00460990528956079,0.0215915271560338,0.0144879419366852,0.0157764331963666,0.00125925804244181,0.0155758447144163,0.00914330212136746,0.031525875234175,0.0206536041819387,0.0119988493408983,0.00719531703650444,0.0152968085930607,0.0172974846591913,0.0312620847851471,0.0309086148131218,0.0118896150777423,0.0141355912850109,0.0241492433632953,0.0261788890855159,0.0170278666231103,0.0212529042009815,0.0330225144550757,0.0109578366781765,0.0207115341377924,0.0231816687350343,0.0156884656550607,0.00921463970467554,0.0242811646226132,0.00752032443687472,0.00417186449160669,0.0239083835002376,0.00152915904152547,0.00742289625939007,0.0338367527148598,0.00686403498565639,0.000525327754983094,0.000668530990066555,0.0200917267697749,0.00605953132127252,0.0181039930888355,0.00467163433697761,0.0258282629213649,
