State,0,1,2,3,4,5,6,7,8,9,
Initial,0.0055409605384234,0.101539662541766,0.276173665849513,0.0196624704301324,0.128072533072056,0.129299726169441,0.0298753701346719,0.0872815816481865,0.205547700998886,0.0170063286169285,
Transitions,0,1,2,3,4,5,6,7,8,9,
0,0.146909091176223,0.0693846814443635,0.123974255236198,0.218264917664024,0.0271386530630282,0.0190009775673856,0.162916641372531,0.0767169968016942,0.0623649576693274,0.170344735597063,
1,0.0703977468838651,0.147589992236701,0.21760632583344,0.261524550439192,0.15140950471042,0.0972458526996415,0.00871506887786569,0.0913438997864744,0.121642163256515,0.18876898870801,
2,0.0313435072081749,0.132506462317625,0.0406490865657749,0.0603549527309619,0.0991641350091616,0.0615618728745598,0.134188029726324,0.0875816944949351,0.0678653498429479,0.0385862530083504,
3,0.162031592211522,0.144463274091053,0.00765603771594639,0.195208906512706,0.0519917806025619,0.102503369544385,0.158056951970979,0.168927312702403,0.0283864837130333,0.162933241289269,
4,0.183368360789466,0.0586037205336817,0.00194987096930002,0.203652397147509,0.147061230642351,0.136231912972361,0.142145945432234,0.0110745682805929,0.0228126016978388,0.0174905454533067,
5,0.0358602169985977,0.0800589440750232,0.148975799098565,0.000756749931692158,0.0331472396803388,0.23350843586804,0.0809895845431007,0.153688244143133,0.17175180501441,0.0184137037049977,
6,0.00184337469171907,0.0682842211340395,0.0336798824250452,0.0104939823724099,0.0645313020202654,0.0195506453512145,0.081305054841754,0.0529930670069726,0.174591826296631,0.138348255763949,
7,0.177889184615248,0.111377990881853,0.195263124157471,0.00270992292381428,0.143054218169978,0.0359889715649175,0.0127782529062155,0.164957497234414,0.242152380932567,0.118433767770694,
8,0.021300465795608,0.153740310786209,0.19909674131039,0.0337103269202099,0.122926021043491,0.206980870056081,0.156104010534668,0.0364253896689386,0.0807347944496261,0.07030909359235,
9,0.169056459629576,0.0339904024994538,0.0311488766878639,0.0133232933574888,0.159575915058409,0.0874270915014158,0.0628004597943231,0.156291329880437,0.0276976371271068,0.0763714151120097,
Emissions,0,1,2,3,4,5,6,7,8,9,
0,0.112518112900997,0.137916103703955,0.214792147642897,0.0822980061804529,0.154814649555798,0.138511092286039,0.170377512239887,0.160664420986696,0.233802900096499,0.121431094548625,
1,0.158147233130948,0.341547074585216,0.0796840679203925,0.299656966349851,0.271560794204352,0.099325352381421,0.276677071717366,0.217124846665635,0.212474227837973,0.359445497741655,
2,0.317271234704319,0.0934422472102996,0.312174430337694,0.239443426754956,0.19079331905137,0.204073118739918,0.177685046421458,0.267056059953975,0.171510889244841,0.0831262832976692,
3,0.10100114639573,0.0920718578749712,0.367158102050392,0.228719896316305,0.243554736439191,0.246754168422286,0.242669699908834,0.15867639320138,0.177364367349639,0.182296511483875,
4,0.311062272868015,0.335022716625548,0.0261912520486065,0.149881704398446,0.139276500749299,0.311336268170334,0.132590669712447,0.19647827919232,0.204847615471042,0.253700612928177,
