Iteration,Run,Score,Time,Ticks,
0,0,39188.9906462929,0.401,938843,
0,1,39351.5177935535,0.286,670316,
0,2,39265.0444169495,0.36,841995,
0,3,39227.6061170782,0.407,951801,
1,0,39212.3843436516,1.704,3985069,
1,1,39185.1014242423,1.881,4398510,
1,2,39255.9930998805,1.325,3099802,
1,3,39213.7122127996,1.376,3218223,
2,0,39211.2503777053,3.274,7657406,
2,1,39186.4541597486,3.694,8640174,
2,2,39213.9015201168,3.636,8503975,
2,3,39212.4392585811,3.002,7020401,
3,0,39187.1557788558,6.985,16335559,
3,1,39222.3017154508,7.132,16678895,
3,2,39285.9628649329,4.602,10763046,
3,3,39195.0045338341,7.108,16622432,
4,0,39274.4834567572,8.887,20783169,
4,1,39210.3744630754,12.623,29517184,
4,2,39215.9335884145,10.913,25519293,
4,3,39168.8724522312,10.397,24312745,
5,0,39186.368487904,15.296,35767434,
5,1,39199.2401215739,16.31,38139710,
5,2,39218.954271404,15.363,35924463,
5,3,39273.6381687985,12.754,29825209,
6,0,39258.4249861527,20.374,47642265,
6,1,39167.4621641014,23.848,55766393,
6,2,39230.7596025311,20.042,46866904,
6,3,39186.681959918,20.072,46935940,
7,0,39196.4443638293,26.059,60937023,
7,1,39236.3099460078,21.617,50549153,
7,2,39200.8612874628,26.644,62304546,
7,3,39208.6790419745,26.022,60850266,
8,0,39216.384883876,33.709,78824325,
8,1,39230.833266811,33.29,77844981,
8,2,39226.4767441983,30.645,71660721,
8,3,39178.7625826705,35.126,82137954,
9,0,39213.7201942378,44.198,103352363,
9,1,39193.6876141528,43.213,101048544,
9,2,39239.0796731849,36.476,85295897,
9,3,39213.5135020292,36.721,85868430,
