Dataset	States	BW	SBW	GE	GG-GE	Padawan
37	10	-71311.0699	-70441.55	-71923.53696	nan	-71904.87449
37	20	-71253.4974	-70433.57	-71837.80346	nan	-71890.65105
37	30	-71245.08871	-70408.55	-71758.74195	nan	-71839.08032
37	40	-71312.03466	-70418.88	-71711.04617	nan	-71799.01035
37	50	-71258.76034	-70344.92	-71710.76707	nan	-71778.95702
37	60	-71242.35645	-70395.85	-71700.23745	nan	-71761.2532
37	70	-71335.26192	-70389.91	-71720.51775	nan	-71734.62895
37	80	-71283.57166	-70369.47	-71753.08899	nan	-71689.62501
37	90	-71291.93076	-70359.01	-71834.0162	nan	-71675.96331
37	100	-71282.87652	-70370.48	-71893.61021	nan	-71679.0208
