Dataset	States	BW	SBW	GE	GG-GE	Padawan
8	10	-67679.78365	-69066.0817	-68794.58609	nan	-65360.30629
8	20	-64222.55256	-67409.77574	-66856.28202	nan	-60143.71633
8	30	-61513.06086	-66102.6839	-65453.18196	nan	-33691.57972
8	40	-60358.59374	-65812.55531	-64571.91631	nan	-569.8366655
8	50	-59113.45639	-65020.61486	-63663.35541	nan	nan
8	60	-58900.25185	-64433.06244	-62930.48633	nan	nan
8	70	-58226.07243	-63871.03073	-62436.62388	-44857.93349	nan
8	80	-57512.06652	-63653.86262	-62125.84346	-40669.28301	nan
8	90	-57384.64132	-63586.37243	-61304.0793	-40279.37275	nan
8	100	-56992.83234	-63534.90001	-57320.32669	nan	nan
