Dataset	States	BW	SBW	GE	GG-GE	Padawan
35	10	-314488.5635	-319843.5057	-324677.462	nan	nan
35	20	-298246.7659	-312467.3494	-309572.8295	nan	nan
35	30	-287663.0375	-302456.7065	-300509.7988	nan	nan
35	40	-273277.8094	-304094.5911	-295098.5576	nan	nan
35	50	-264334.1079	-299206.8266	-291537.591	nan	nan
35	60	-255527.5373	-294903.8412	-286485.9251	nan	nan
35	70	-248791.9384	-291744.1536	-282900.0926	nan	nan
35	80	-239535.8422	-290362.3744	-279861.8872	nan	nan
35	90	-234843.055	-290147.7532	-277462.5235	nan	nan
35	100	-229956.6512	-288455.9407	-274694.4098	nan	nan
