Dataset	States	BW	SBW	GE	GG-GE	Padawan
32	10	-30492.6111	-30855.49313	-31446.45745	nan	-29085.32611
32	20	-28616.3179	-29236.21252	-28223.87644	nan	-27122.60481
32	30	-27584.13807	-28536.16444	-27178.67445	nan	-24080.88786
32	40	-26059.70429	-27987.64643	-26719.36381	nan	-10496.66266
32	50	-25232.96213	-28127.79217	-25771.76922	nan	-12096.65196
32	60	-26313.28125	-27357.72033	-25615.31322	nan	-6723.475924
32	70	-24950.7941	-27693.79108	-25297.65996	nan	-3228.943639
32	80	-24357.47828	-27252.45682	-25090.8206	nan	-6758.595338
32	90	-24498.88531	-26667.69192	-24810.00251	nan	-2284.160108
32	100	-24311.76069	-27273.16859	-24682.67088	nan	
