Dataset	States	BW	SBW	GE	GG-GE	Padawan
23	10	-56274.66016	-57228.76904	-55274.09419	nan	-52421.63822
23	20	-53377.83729	-54585.70062	-52275.57272	nan	-39434.01383
23	30	-51098.2696	-54639.95623	-51215.97049	nan	-31578.26218
23	40	-50844.49043	-53211.90043	-50633.19878	-41002.85309	-10816.56866
23	50	-49863.42266	-53642.013	-50251.62613	-39388.33624	-7679.338706
23	60	-50088.24565	-52977.14524	-48727.41775	-38558.7084	-3754.509156
23	70	-49898.83319	-52027.72999	-48018.59623	-37017.40846	nan
23	80	-50108.04065	-51836.27501	-47436.07986	-36769.55319	nan
23	90	-49827.55413	-51940.14741	-47154.70968	-35798.27985	nan
23	100	-49835.9226	-51651.37718	-46488.76624	-34318.07128	nan
