Dataset	States	BW	SBW	GE	GG-GE	Padawan
36	10	-121697.0831	-120894.5944	-122658.9245	nan	-122691.6764
36	20	-121817.5271	-119828.4979	-120576.378	nan	-121772.9875
36	30	-121766.088	-118982.5989	-119792.5851	nan	-119193.7873
36	40	-121780.2515	-118467.3	-119258.3457	nan	-118852.2059
36	50	-121713.9473	-118120.7973	-118918.2654	nan	-118576.1259
36	60	-121864.6756	-117932.5526	-118782.2466	nan	-118372.5514
36	70	-121799.316	-117934.5304	-118613.1141	nan	-118245.7276
36	80	-121758.5332	-117604.6842	-118562.4217	nan	-118251.5803
36	90	-118895.7535	-117702.2215	-118554.4592	-83249.83976	-118208.6567
36	100	-121893.6654	-117772.0421	-118507.3201	-80286.9093	-118165.4055
