Dataset	States	BW	SBW	GE	GG-GE	Padawan
1	10	-70551.70644	-70567.54224	-72393.98578	nan	-70959.80929
1	20	-69013.07292	-69680.76176	-70749.99291	nan	-63868.81902
1	30	-68885.4879	-68784.07939	-69633.02615	nan	-59064.89162
1	40	-67461.44645	-68669.60381	-69017.34666	nan	-47673.76089
1	50	-67767.34199	-68398.6465	-68765.95805	nan	-41130.56909
1	60	-66667.97315	-68168.04852	-68405.21681	nan	-33479.6986
1	70	-66438.79222	-67867.31357	-68037.87379	-44849.37598	-10145.26326
1	80	-66397.38177	-67577.91889	-67836.91858	-44434.21995 -9958.366027
1	90	-66178.97423	-67735.98407	-67746.76477	-44375.24182	nan
1	100	-65783.16647	-67577.65578	-67700.70543	nan	nan
