Dataset	States	BW	SBW	GE	GG-GE	Padawan
43	10	-39248.43595	-38518.63	-37589.13855	nan	-37739.23315
43	20	-39216.58526	-38367.72	-37498.5893	nan	-37490.89216
43	30	-39201.06014	-38340.76	-37460.96724	nan	-37466.10219
43	40	-39217.2182	-38175.6	-37444.47915	nan	-37453.76758
43	50	-39204.8546	-38194.19	-37440.17523	-28566.44707	-37430.06845
43	60	-39210.35664	-38250.91	-37485.34327	-26659.15664	-37435.73403
43	70	-39222.23661	-38245.96	-37559.22741	-26496.2384	-37435.6191
43	80	-39210.02452	-38240.43	-37607.92852	-26290.69113	-37429.65249
43	90	-39216.24512	-38225.0	-37682.72601	nan	-37438.63379
43	100	-39215.98124	-38147.67	-37760.53869	nan	-37436.48623
