State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
Initial,7.03890345797383E-99,0.0248319268307979,5.06305852690399E-129,0.771343708532436,9.57678454656799E-95,3.41027458716097E-108,2.7920614454463E-45,2.82635820108401E-54,4.81747561178243E-12,0.00708780216691363,1.45685335097894E-144,0.000787153480518556,1.49689091917375E-209,7.16925498482459E-52,0.00517074238621237,2.29151588644034E-17,2.35033386503645E-46,2.15686711675408E-98,7.5263055858896E-95,4.69171291047349E-73,3.28763426787407E-59,5.86742143529638E-21,1.1032020845745E-13,0.165878707004512,0.00483168635159023,1.0245229201537E-81,2.08622846140667E-103,7.27496326623771E-115,1.01737209128469E-09,4.10657641614504E-52,1.01215771916816E-10,4.41872448531591E-25,1.23296616243078E-50,6.72158170716401E-05,2.10289496966075E-40,8.27174729827974E-18,9.00423804835078E-85,1.06407047432461E-90,1.01476994481398E-40,3.66156871562551E-66,9.02038443909147E-12,7.77756053736677E-99,2.24449333219731E-21,3.73068159955085E-16,0.000564062493307497,0.00124348264690054,0.0181935111572039,2.32816161024211E-24,1.91839879637946E-65,1.88883676039442E-16,
Transitions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
0,2.37194791639508E-22,6.17656049559697E-25,2.31533977963943E-27,1.57442889913816E-24,8.28299207022832E-44,3.95302162446849E-05,6.05974739330427E-09,6.5836672650415E-15,8.43829368965947E-08,1.31467696851108E-07,1.85736981033935E-29,0.00160855812420784,0.0175827134404828,5.37186860282324E-06,0.0231391807312024,1.47190491626888E-16,0.101463025063605,7.99397948933889E-23,1.77463569312512E-16,6.77699993927736E-24,0.159244018399659,2.37497573828295E-40,8.89575416893736E-26,0.00637513544087557,0.0401169437523047,0.0847881529120675,5.58596821515777E-19,1.35259696927525E-10,0.00504260098148292,1.63034761131189E-12,8.5486639976486E-24,2.77554271647732E-12,0.00618021195626939,3.5421171939355E-09,4.03823155403537E-18,1.84498474389667E-32,3.94900986958855E-31,0.00836645069223506,4.82191092556406E-23,1.68446855452387E-20,3.29949296002001E-32,1.62618292992367E-47,1.31215842390057E-14,1.49710441681527E-12,0.00017166982964534,1.7938977480369E-13,0.000521800563607707,0.051593222751088,0.370521055184916,1.79516874393286E-31,
1,1.64016553592546E-30,0.0907773947882602,2.0732121509067E-11,3.0752205898095E-67,0.0468605672929941,6.53235016924254E-22,4.01309421100802E-05,3.99480637219608E-08,1.6168230547004E-17,0.0611257365604794,0.000131409626556219,0.000472098757931009,0.000146586681165212,1.07621823526424E-24,0.295131111998821,0.00399901434585881,6.10578475051642E-13,6.6796514627754E-25,0.000899948518578483,7.7726895723882E-14,0.00139785017471434,2.89612398356822E-05,1.23475251769544E-32,1.35830238528664E-18,0.0322652482282535,8.94474830611585E-20,0.0355257698577003,1.28495342651445E-26,0.00183469203839648,3.1120376977831E-11,1.78617862303238E-33,5.05473629605914E-25,0.114482187264105,2.89951997612413E-19,0.000146239978833592,2.41110279448599E-20,1.35512691275548E-07,1.132495811831E-50,9.92584900058597E-16,0.000628980930822544,1.14971337384323E-25,6.81991275174084E-28,3.17516908015877E-19,0.0146752863451995,1.22393894069438E-18,3.8314213517078E-11,3.29857055536185E-11,0.00134153111725532,1.44474036103345E-25,2.41924192107824E-10,
2,1.09684332853064E-26,0.014294793332,0.00626729284555452,7.75034805041402E-16,7.40903116944144E-05,0.000537213710811662,2.45004321473273E-08,1.85640912774119E-15,1.07185441041983E-06,0.00205977307696636,4.69509791239287E-20,5.18281102944013E-16,0.0752357295180652,0.000949374985469779,0.0322694578671205,0.0431596389289805,0.0076124344429676,0.00117527874579162,4.79118756064008E-07,7.2943499635523E-10,0.122152748141766,3.93269296143806E-10,0.0289909790827088,1.81861891700387E-07,1.1648295840006E-28,0.00553300263151362,0.0103869952689561,0.0480584135980287,0.0294642552687537,0.0198770468408265,6.09921066908003E-14,2.65841317798352E-08,0.0319783664511469,1.90649769365238E-05,3.46744248799403E-13,0.0347934718429317,3.78318847475278E-22,0.00708203387820091,0.00567539832336471,1.60443716166034E-14,0.011224865287154,6.26407920219426E-16,0.00290213314555713,2.33510960250557E-07,1.27911125262521E-10,0.000591548640139288,0.00815103419413508,0.060075018879525,0.28728526881012,0.0625932607299411,
3,5.97326917015916E-08,1.95588570653578E-40,6.49150775386183E-33,1.09214107600952E-10,6.72956553871157E-16,1.02544815723502E-14,3.19140631957205E-27,4.79293842954642E-16,0.000305953783924368,1.2648812844564E-15,1.31767553209457E-33,3.16453846157788E-38,0.0791421468763339,1.35544298812707E-21,4.42006325962133E-26,0.00402593436296,4.84330281324233E-20,1.31626421989833E-13,1.14314733307762E-34,1.01147818945688E-14,0.0266072393101136,0.000444772260341801,6.20813580198418E-05,0.0795014902874214,5.79585685170968E-12,6.49490571413797E-27,7.84746977816196E-21,1.24554195122756E-33,5.4211836098555E-05,0.00783286017368492,2.00732742702405E-20,3.78868528129428E-20,2.21364391924669E-09,7.25485918394674E-05,0.00345047501443202,0.000526147111372446,7.64873234493122E-06,1.84634677120026E-21,3.71915979858977E-05,1.59194547440652E-13,0.00171660672268389,1.11230283681693E-12,9.48997053228561E-14,0.57531253718561,1.53021319623196E-22,1.04209784264397E-11,8.36637253010578E-09,4.8903288804229E-07,9.47671262496616E-24,2.58570705943746E-11,
4,7.83610974983905E-22,1.53074193591232E-15,0.0155997347877217,0.0100561831362279,7.90591814117232E-09,1.34881740511587E-13,0.0150546076320805,2.48269781818673E-05,0.000110476468949724,0.00309287069427995,1.02960494911467E-22,3.98669778618717E-09,8.03630193653635E-16,4.85762320721747E-10,2.34655164184711E-16,0.0185665514119629,0.00352688437376254,0.00012955097973109,0.00540109274633852,0.004766215275199,0.00558655370488212,5.51282321772371E-06,0.0929767418303308,2.84471869737735E-05,0.000288868641759373,0.0157194133935238,0.000333522729824268,2.62274677482761E-07,0.0607850428947103,0.00725117474375955,0.0026063247113332,0.0133299898380122,0.000634493482419257,0.00187000467315939,0.00506339512139349,9.46298555882513E-12,1.12319865599805E-14,1.2349306860902E-25,8.48328335392092E-11,0.000689536950551506,0.165696579075791,0.195455798510186,5.04556775351883E-07,2.71735490563368E-06,6.46032918604934E-20,6.95440460702894E-15,1.24747825728863E-11,5.0287828360676E-06,9.66264262414843E-13,0.132833565892962,
5,0.00424899678652171,0.00759155630690439,2.08233180923345E-27,1.81512601626328E-17,4.7543376528037E-29,0.000287292356322954,0.000761346022054408,4.96778026216742E-08,0.00892095717738526,6.26769384950806E-23,9.84844424558075E-16,3.64985700683088E-12,2.00333658779468E-24,0.0367454630120355,3.36298336847365E-05,1.06226963232867E-07,4.85216327982397E-11,0.019209008944769,0.000259586396441203,2.60732991305097E-21,0.000920341289410019,1.71303522093719E-07,0.222855662293772,0.000549418651246829,4.63022803124878E-14,0.000236674799920783,7.32738704399894E-13,0.144533988642911,0.165054419112483,0.00224111906453867,2.83769169595482E-26,0.00247248873549544,0.0160377176951883,1.17602127792966E-08,1.23948914723401E-24,0.00147528461310304,9.17472633426051E-05,2.05692426624328E-49,9.7478543771886E-17,4.48398593355763E-09,1.04030729344312E-07,1.64685210323433E-06,0.000885626081812495,0.0581200433455725,6.14813013580112E-12,1.8849334846877E-12,0.0135535084270525,4.64460288375985E-10,3.28041007110895E-11,0.284030624395316,
6,0.0155774178921123,1.40886137906116E-20,1.4468072713075E-27,1.16322553419166E-05,2.71767512172969E-18,1.26636117757274E-08,0.00220745175846775,0.00128753401703783,1.63897161463363E-23,0.019602393472427,3.08140126667733E-18,2.05916149311873E-34,4.8654844181609E-22,0.000155769365693229,3.59044025096986E-08,7.64365253989698E-06,0.00879932740028938,1.52117196908493E-08,9.69444444601693E-12,2.66518330045507E-23,2.26129023844032E-12,0.204683958556388,1.79460044666113E-14,8.92166970320532E-17,0.0263802291747679,0.0569817757351454,0.00601812231665121,2.58076718401084E-09,5.82073746564672E-26,3.06806129665017E-09,1.2531101796507E-26,0.0374398784852725,5.53482435855472E-06,0.00653451160531248,5.02032893911748E-05,0.00198861015283349,1.61471440473778E-31,7.50632434503416E-41,0.359759753576255,0.0186445057187102,2.96532370345574E-11,3.6695978527297E-31,0.331716134555481,1.78036185938131E-06,4.21003211837766E-25,0.0313701563197663,0.00897918469496599,0.00538148915200761,3.88111251697484E-15,3.6370812615029E-16,
7,5.17148964494613E-09,0.0101168734101572,0.00689270077729434,6.1641946488769E-11,4.83813460662711E-08,0.199104081767141,1.78892828846857E-07,1.11785199199595E-07,0.0167728845446972,0.00387091001021042,0.104951206175944,3.9844780232853E-13,3.99074987148716E-08,0.071258689077013,5.85391508292085E-14,0.00693458805598773,0.148789714671587,7.42636994493339E-16,6.01369310185502E-12,0.000131203183043781,0.00480074444737473,3.71433339973911E-17,9.80998524241806E-05,3.22076213549857E-16,0.0251507445048193,0.0428485483477466,0.0035945950161646,0.0233293275150623,2.61837433830563E-07,0.000543395985640048,3.32187190486218E-12,0.00356129578956187,3.01455261429819E-09,2.32735277177456E-05,1.40982768989469E-05,0.0379818065539725,5.98540745044328E-21,1.80884389352477E-27,0.000415850788421844,1.25896756727971E-11,2.81092582258595E-11,6.08456312705666E-14,1.39040246699566E-11,0.000898225482174073,1.03524663314954E-05,0.0130214174376687,3.28937698447211E-10,0.0428790091127108,2.85882559295296E-09,0.000138063470272256,
