State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
Initial,0.0273410777790351,0.0534827894465039,0.0666755114027606,0.00193746361741498,0.00495054897092742,0.0161108338635201,0.00708854290548857,0.00809512220185102,0.205922738849602,0.01478295979672,0.00856772013155956,0.0676443810109721,0.193439217933987,0.0340444429064616,0.0143473651969425,0.142867985039016,0.00301048053693836,0.0565139733125656,0.0405332097099388,0.0326436353877944,
Transitions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
0,0.0642788071440717,0.102080346878971,0.0759907383135713,0.017451439471702,0.0817840049417444,0.0240103261320513,0.0620435712597965,0.000976720419065583,0.0807939617850918,0.0907232925186701,0.0743200138470943,0.075423204580271,0.0567569583585736,0.00892194989744679,0.0572601017381313,0.00212014869871979,0.0410220821667935,0.039743377593931,0.0380755688724597,0.0756463748983181,
1,0.0884449811235204,0.0617054646262955,0.00575971518313867,0.0529876845908699,0.072674308085403,0.0804645919137623,0.0461215682850783,0.00874046096600648,0.0155569922436311,0.101808427536004,0.0158991181238608,0.0217788714989674,0.0895182490630838,0.0229194016728924,0.0315092211183,0.0787501980701173,0.00914113637633993,0.0583493248326993,0.0587530217818053,0.0526832550164581,
2,0.0449434171624699,0.010919514021475,0.0949814621375343,0.0258548457254535,0.0467760271202876,0.0577888141911039,0.027501507130962,0.0499262000872445,0.0531121553614404,0.0654834957061397,0.0688586620951264,0.0261822788770925,0.0392536767559993,0.0456710749161988,0.0675915640132948,0.0620896331293535,0.0465171972459825,0.0221808600587225,0.00794325703750782,0.0614468810524444,
3,0.112101685158917,0.0079933231987358,0.0701654793495205,0.0587548106875982,0.0523506537025382,0.0937398284481914,0.0578714082961257,0.0829516843413003,0.102662689643163,0.0317098285955734,0.0560332677407214,0.0487963493672363,0.0617726755983557,0.0310260210764378,0.0491775833215363,0.0790132630934472,0.116286881422007,0.00615389983022945,0.0589958987161007,0.0276307604939431,
4,0.0420872838291231,0.00314523472004497,0.0305456587448468,0.0352705086441871,0.0445587958364302,0.0314293572096066,0.040184497872731,0.0794749359947208,0.0410857003997533,0.0443559715948762,0.0658337100045038,0.0330269428040001,0.0794335253229673,0.0208339553744986,0.0768968830707194,0.017683601018934,0.0672879847596304,0.0276596184052332,0.0569560366271301,0.0831798855984381,
5,0.0511497085471838,0.0274284300255764,0.0118682099970658,0.0695433190869109,0.0447240642504016,0.0641318518375552,0.0212598237147012,0.0201479238878021,0.0687909637548249,0.0694016192094542,0.0257881389207654,0.0844261622968078,0.0632141518407011,0.0736006719577918,0.0758278192902496,0.0047862453699401,0.0543892402603567,0.0523362163917719,0.0409454627928115,0.0624669641828892,
6,0.0602571083256311,0.0107136139534264,0.0341773192824914,0.05458707431048,0.0236343857948151,0.032076614788448,0.0873024312076746,0.0235647750891435,0.0201144010060339,0.00252240737098709,0.0778694603868653,0.0203977179242309,0.00304683750101568,0.0717206726464203,0.0198905110272276,0.0297246919575902,0.0450234630154804,0.0436291856939803,0.0775061786129374,0.0605375386428949,
7,0.00407258386246769,0.101879213682643,0.0517594364924386,0.0407396204737155,0.0463112091209238,0.0184120241404007,0.0330436937477138,0.00101696626990472,0.00182610535094992,0.00136008742541832,0.00418067673870044,0.0960458354226924,0.0959791418447686,0.0462695019597515,0.0663724425229922,0.0734258286332693,0.070644035528644,0.0909872099412802,0.0436217442409458,0.0438191460914862,
8,0.0446546891079989,0.0728793409311439,0.0345931948951631,0.0577099112468057,0.0237724166139565,0.0914622936476822,0.0758890476496461,0.0661599910084781,0.0130219846088334,0.0856478936068826,0.0572210477705314,0.0647135617132147,0.0813534151580853,0.0310256761369461,0.0878207191032559,0.0410690421028624,0.0446556923231761,0.0730501740383493,0.0277830557614454,0.0739274330279289,
9,0.0431711657501387,0.0732968283953267,0.0223836965037305,0.0322367966574865,0.0258214507749734,0.0585338523527947,0.00496799116481061,0.0385765078940963,0.0942284924220472,0.0858932717209517,0.0197689896345334,0.0315166433524327,0.00795738361550136,0.0368329757346949,0.030404936360368,0.0918801506620089,0.0734809848973368,0.0173281413940304,0.0295022929394294,0.0489750758605835,
10,0.121466763555048,0.0988450776661575,0.0329331405782353,0.0708538641992219,0.0144775820070268,0.0396997340534536,0.0319673888375624,0.0883271878716579,0.0548592744868089,0.0744052073157798,0.0953516242762217,0.128669601137931,0.0420450377613609,0.109919962600065,0.0859332766703347,0.00483079424028926,0.0216382444192902,0.084715712963086,0.101985390927498,0.00188254500497626,
11,0.0114349605241675,0.00579770456738206,0.0465210194963193,0.0421546239065135,0.0619217683794746,0.0825499726056768,0.0741557634643202,0.0756261522495931,0.0434897227310439,0.0712788057868735,0.0760497949437107,0.0339666727711503,0.0214523717436742,0.0343636045453097,0.0423080103867273,0.0320795704477604,0.0534688934051011,0.0391765715885428,0.02006342401793,0.013252695937561,
12,0.0287617839455578,0.0288454225485059,0.0864488784927426,0.0579564020974072,0.0593882819314029,0.0413082311318778,0.0713376204370863,0.0599675156358914,0.0685179363482837,0.021082378971689,0.056003991158585,0.0220420788042267,0.0055551667425763,0.0832542380701568,0.0644078051507083,0.0975385718829208,0.0285617071373558,0.0585838158211747,0.0550798499874315,0.0176812707743548,
13,0.0103721419120367,0.0912286891490726,0.112469540959774,0.043253520934928,0.0663094396495428,0.0755264555662994,0.0615400198895455,0.0945311193535566,0.062754765096578,0.00666477448145094,0.0377917053652229,0.0428609973354544,0.0596534205717669,0.0519758326191777,0.027313144376093,0.0957474876458869,0.0487108228113961,0.0742060944623478,0.0508105585136879,0.0640595207319442,
14,0.0197557239716804,0.0459252797519445,0.0610202275861404,0.0684002736451678,0.0958958497559901,0.0131311818494384,0.0794878128610388,0.0847586090188562,0.0147662052636133,0.00371872896822319,0.0132157206557372,0.0157376383081703,0.0480491898144152,0.0202593536233651,0.0956020666668901,0.0505305927548811,0.0530254908213113,0.0548841960862751,0.0935332900028723,0.0338049374520598,
15,0.000594815244585002,0.0714722912964727,0.010832803533708,0.0593115561196145,0.0640452085298269,0.0463935568011104,0.0180255081845431,0.0856326044915872,0.0428623902436107,0.0794186155646811,0.0765854904716539,0.0797471574639761,0.0651524603903764,0.0658739207614095,0.0316646123824336,0.0774885398768917,0.00598525759714681,0.072815920569973,0.0682615827485172,0.0619480836552379,
16,0.027569095771022,0.0120262311117334,0.0732515830169427,0.0456417206272104,0.0686836794203054,0.0179898972771121,0.00546801187846099,0.0461668587791475,0.0962194520405966,0.0594424684484091,0.0360365061309739,0.110199567115233,0.0860880188278001,0.0689710304122878,0.0426515806714797,0.057706766423883,0.0810010416036089,0.00527644446669629,0.0725157226192436,0.0460918585861959,
17,0.0741035504801388,0.0662036685068786,0.0453642573420678,0.0439054121424173,0.00256319033307099,0.0824657078373607,0.083121507891643,0.0312963676068341,0.0584317923811054,0.0532300887692282,0.0272733628627279,0.0115676877191151,0.0482755876716843,0.0693211855663369,0.0137824924524542,0.00203550933104639,0.0194488286405825,0.0480462570627298,0.0427928560335795,0.0596899031821286,
18,0.0804093883968439,0.0806606112200557,0.0896603641622311,0.0473829452066062,0.0703117434422918,0.0320471210287655,0.018243690422301,0.0499483558165347,0.0562538728241235,0.0299803627031411,0.0393205872638178,0.0441724599769735,0.0341698949551095,0.05034318926405,0.0255119374643876,0.0474624517095555,0.0286416093675757,0.0746901249785635,0.0543007853232388,0.03623890880657,
19,0.0703703461873983,0.0269537137481559,0.0092732739323348,0.0760036702257064,0.0339959403095924,0.0168385871873115,0.100467135804259,0.0122090632185839,0.0106511420084561,0.0218722737055704,0.0765981316086445,0.00872857153082824,0.0112728364621866,0.0568957811647679,0.00807329221240994,0.0540369129506477,0.0910694062008833,0.056186853820375,0.000574022443432702,0.0750369610035951,
Emissions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
0,0.163906065964209,0.0367594124427421,0.0975426032650815,0.057075048333572,0.0674419709435078,0.172508798525575,0.262731231610252,0.157825997370477,0.101805540827967,0.1785209750867,0.149326269619482,0.0803258748436935,0.00923131299699342,0.159367025246701,0.159521821590419,0.108351036632508,0.195248485473076,0.183906760870712,0.0628702634538411,0.157211256409958,
1,0.0567327915011547,0.305485785524337,0.235120720177296,0.0933634717104352,0.0815644478048169,0.297607641991456,0.0694427063203492,0.0234071573768305,0.452008775306143,0.16837009052101,0.0950706468548549,0.114667930537651,0.310790030828816,0.0461657063666224,0.128802043965453,0.374387044514825,0.0883398499982819,0.0219685299422291,0.0306188389645148,0.338285689961878,
2,0.141392503281764,0.118091690915797,0.110979496943072,0.0868588709688942,0.125867957945779,0.0560548651636811,0.130257768486631,0.193222548495524,0.0221879685609689,0.00784340892136587,0.0800854776335751,0.137089505292419,0.209394501788993,0.093070395692522,0.163131850084415,0.104031631342798,0.180754252682986,0.0213841787740725,0.159260429589218,0.0757699597036763,
3,0.114488182978317,0.0281684888979704,0.155057188140271,0.0308954125272172,0.0448185001324402,0.0115617272889469,0.115709844512433,0.0210509639553691,0.168419897832265,0.102934785405797,0.045189678075422,0.192030003965317,0.206217723863922,0.0931551378643218,0.00590073861023237,0.198057841114872,0.00390522158531797,0.205056388717203,0.21212318554846,0.0115938382953254,
4,0.105978752410462,0.193912705174471,0.193447722814988,0.288712762148118,0.0255417701074036,0.101405756304506,0.200527911221548,0.389544399545871,0.182419337978677,0.0823220812245463,0.322495591318811,0.249278513854889,0.200505086920146,0.368057178405673,0.312009387021304,0.108315902686123,0.0547619338336082,0.249206583796403,0.19353711916981,0.182893910821295,
5,0.196994078023653,0.128109731762377,0.111162298351887,0.295184828079912,0.473590185402587,0.230852269108344,0.18085493892085,0.12678735315205,0.0469736532214386,0.220607754673156,0.206629335697976,0.0998261682450782,0.00561111021790174,0.0918560219913908,0.0896922274738881,0.0539575069296414,0.278510102006927,0.0950240533098121,0.185306344921869,0.144466537333016,
6,0.220507625840436,0.189472185282291,0.0966899703073981,0.147909606231861,0.181175167663463,0.130008941617494,0.0404755989279391,0.0881615801038793,0.0261848262725231,0.239400904167435,0.101203000799875,0.12678200326096,0.0582502333832286,0.148328534432769,0.140941931254279,0.0528990367792355,0.198480154419797,0.223453504589558,0.156283818352292,0.0897788074748605,
