State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,
Initial,0.00205872650525044,0.00793664174563414,0.0232374072509173,0.00476167441167047,0.0148401203003112,0.0146220679880678,0.00120435854770634,0.000515392777518799,0.00271272141942502,0.0300371502215578,0.0168880136464541,0.000690314651838449,0.000381941493366963,0.0125833940069962,0.000841873614143775,0.025744294464405,0.00866555734444667,0.0148164735650601,0.00543651114245291,0.0297502769106333,0.00806463896856281,0.00978631353318165,0.0244038820330125,0.0766519180389879,0.00307483091048694,0.00238716677427478,0.00115959683838907,6.51411432966946E-05,0.00742624187807265,0.00327098673354902,0.00310542987834028,0.00118960734161787,0.0103340254163312,0.00186792568978036,0.0074526277509776,0.007787223595713,0.00322536885825897,0.000213971902717439,0.00285822580809475,0.0133474488881695,0.00365386827606436,0.00750342011098747,0.00997604820977301,0.0103283551830502,0.000575901146968813,0.0177887264287252,0.00261697600180744,0.000502106757349703,0.00458022766460217,0.00185486136376527,0.000215370797640324,0.00859392438107436,0.00257170054071857,0.00873252168681245,0.0374387210656883,0.00149430147123942,0.0217950072622251,0.002762340427824,0.00971681417744342,0.0001465992715606,0.000939263361368115,0.000161803062967569,0.00855319659301092,0.00726007714076587,0.00279690605988668,0.00169430363327376,0.00189023284452866,0.0076712844721885,0.00143072644206427,0.0123317385988881,0.0125098510798544,0.00928520116567844,0.0492841681995157,0.00714994463988253,0.0021722876100013,0.00158775194243589,0.00206810201949583,0.00781771186211966,0.00880082198896895,0.0175861174689443,0.0054685818947175,0.00347377526148134,0.00116258581636086,0.00433425229805215,0.00261684038157867,0.0164263122965742,0.00744140416485085,0.0331459556997992,0.00281348158142368,0.0332803772844731,0.0149241313270682,0.0458844631029805,0.000696146425960839,0.0161877647781054,0.00323225578386116,0.00821399572474734,0.0129661226059052,0.0417062781863958,0.00397155919088659,0.020816949793946,
Transitions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,
0,0.00554601331144583,0.0223661916214865,0.00841746757301775,0.0080966989827884,0.00533748576122022,0.0152459377171505,0.0167021802139336,0.0127185908865656,0.00827076774375147,0.0152775375866777,0.0141879184431612,0.00475172509473117,0.0199087757738689,0.0121278751157777,0.0184480284440064,0.0189441165226538,0.0163721677785632,0.000508711565204546,0.0149227220547429,0.0203067158543976,0.0138325887925529,0.00489616335555732,0.00710977077120916,0.0146715134017903,0.00668667681545908,0.0191811572869799,0.00315636412979935,0.00773135236141278,0.00251190462794615,0.0124630529927677,0.00104675873809295,0.0273109981020043,0.0172204087179382,0.00707657403081987,0.00716675421863811,0.0151726938623987,0.000953774132184978,0.0218506216273513,0.02126406856396,0.0227988992557036,0.0197109547566178,0.0137144197591182,0.0200082852482181,0.0112589502881047,0.0121230792703199,0.0156140501986215,0.0117308212848619,0.0233127243195209,0.00314042946725621,0.0205839278415619,0.010045066204762,0.0115015212400544,0.0111483568300096,0.0165060113629971,0.0133583926875846,0.0219430947186518,0.00362016223892531,0.012966804995609,0.00342868116946201,0.00276420780818061,0.00548547182628524,0.0206124058502197,0.020510878345647,0.0115479048739815,0.0136993225107983,0.00824140717214106,0.0109991916669386,0.00873726243245931,0.0174159039468906,0.0164267436705056,0.0164578872391717,0.00117562507735016,0.0121252650423848,0.00560436842507012,0.0222339097746265,0.0191286711022993,0.0018163190125316,0.0121717486815938,0.0120435083823205,0.00970924753014415,0.00446411249171189,0.0221082039652499,0.00571512055570755,0.00220143564143333,0.0124913040425306,0.0167281244948479,0.0162553790672422,0.0185208009291723,9.61499094031331E-05,0.0071472350854912,0.00560520278932816,0.00349026094505839,0.00184409566555044,0.0151266114673076,0.0113508493895755,0.00260959394078154,0.0209059456216023,0.00735608822630183,0.0216396377101929,0.00948803076122972,
1,0.00104387345833149,0.0121039569161145,0.000915932359108106,0.0137566326261994,0.0139328157363197,0.0109783248552241,0.000415792112275334,0.00768970369395843,0.00631609445489915,0.0133494138441093,0.0142656292275391,0.00809715282108439,0.00747922729489579,0.00264321865245454,0.00328339888653479,0.0147048072202335,0.00414687565331679,0.00205539561921864,0.0164400713996091,0.0105610575827299,0.00881903356466635,0.000837451222970003,0.0184551957337541,0.00886025283422517,0.00862135553862057,0.0155817947018722,0.0146747978343271,0.00376554805664566,0.00935110071272823,0.0197414453601492,0.00369938499475241,0.00603570639612819,0.0168269004092587,0.00447089933831033,0.0161174346226688,0.0175884996177056,0.00031851185018014,0.00942352360666267,0.0112451219098608,0.0182273238692915,0.0054520969265981,0.00719544765150721,0.0179304178111334,0.00716154277819231,0.0141906249600525,0.0119996023235654,0.00938251821036084,0.0132346407593814,0.00748633688687712,0.00780230183552466,0.00881882958723452,0.0104331211588116,0.0134237762650539,0.00259917049069877,0.0128966828196565,0.00734528422835,0.0145296598906413,0.00469348678132273,0.00708622359757121,0.00161802811956969,0.00810031357236273,0.0128190346557186,0.00230903646953228,0.00391262549077156,0.00421872121573288,0.00803187145740646,0.0119059761161598,0.000108183757322909,0.0128238439412631,0.0125210493603557,0.00290728242442774,0.00299887048699973,0.00865980093408466,0.00894950776216081,0.00380241273740191,0.015909822026636,0.00683730677972029,0.00554404843490704,0.0175013775242166,0.016471928722873,9.72287350493866E-05,0.0164349359038605,0.00184871011075992,0.0143526363894063,0.00603100818586892,0.012881836441368,0.000952047192185581,0.0106878453357898,0.00164248102392266,0.0112774385476962,0.009098068902703,0.0130496339465609,0.0149746922419565,0.0116571251183307,0.0133473014298226,0.00964386494514152,0.0109188926810537,0.00112190135928742,0.00106952338894221,0.00240096633938548,
2,0.0149043989801993,0.000524741171274545,0.0140695485427324,0.0105500023244064,0.00499007751940429,0.00224265308849016,0.00195036773801717,0.00645441086026421,0.00200497315125389,0.0081196542318967,0.00439333338791421,0.0123077311673252,0.00438755865961454,0.0145258921393621,0.00839395597201598,0.00389075174984604,0.0142358144029222,0.00184328296754419,0.00491466684092363,0.00980798353952769,0.00539474322735492,0.00723796915217936,0.00210028563214516,0.0144998453594036,0.00429200416211045,0.0127970754647092,0.0129405772196094,0.0159259763430622,0.00329780020747682,0.000900150143975294,0.010570677135957,0.00330589541274059,0.00606293096229943,0.000792022861874673,0.00771803241390778,0.00883019376347852,0.0130061426623274,0.0193418406092001,0.010399767880297,0.000522050651666947,0.01150372261041,0.00640897269283405,0.0128203532427831,0.0160426502463362,0.00566969649621858,0.0144106970140043,0.000945570659284089,0.0109266731375973,0.0019188339178909,0.00873892650850859,0.00514096452644247,0.00844437105785094,0.0153641276295618,0.0112125856255406,0.0126494826598832,0.00364424007071664,0.00722860740616337,0.00482340577524674,0.0160841302871532,0.00813634736182031,0.000244168497233607,0.00124924726357915,0.00901000608148777,0.0111832059814324,0.00258046994109635,0.0174309908382573,0.00834447255475143,0.0132856684724911,0.000939757540631107,0.00980819376533311,0.00830316170982115,0.0124397681290997,0.0137320032553034,0.00616706108379828,0.011620706479826,0.0148668876190331,0.0109167876944563,0.00899251632406594,0.00147228909905067,0.00782700835691977,0.00268758604121107,0.00703930596019041,0.00581338528595505,0.00989795132608903,0.0052987572835224,0.0102108808767049,0.00727020205560258,0.00697501921711801,0.0125230389951433,0.0106015146887274,0.00381915650637663,0.00392948355998762,0.0138747833975179,0.0110080525476085,0.00901503716306859,0.0154546578586094,0.00281782675810357,0.0106162364612826,0.00337099541734102,0.0106517625173154,
3,0.00121944801238983,0.0105734316309644,0.00161904879331428,0.00370944847620115,0.0062102596514236,0.00999405457412219,0.0180474436549847,0.000573161492583596,0.00527884814623352,0.0122172774389997,0.0133116154815365,0.0155278775778005,0.0149983749815774,0.00581366801190322,0.00348927236202786,8.99907108755239E-05,0.00253045549905053,0.00665898692456353,0.00958896200014548,0.0118732164532848,0.00619342411232549,0.0109815652073876,0.00290336048132648,0.00471738875613542,0.0186956456312935,0.0103718425105323,0.0204847717031508,0.00513652673532019,0.00957009695170595,0.00405628245225701,0.0165915751129898,0.00924569711607084,0.0100892731295703,0.000920225606972558,0.00580569009632291,0.000741119436202434,0.00622655123866092,0.000616976228258268,0.00744419729099965,0.0147629603007273,0.00041965891864023,0.0128673625067814,0.00122222955601066,0.00618867788518035,0.0190802831526892,0.000996585480285103,0.0139795862566933,0.0098237395181436,0.0146506030092932,0.000185895421419154,0.00934997691927159,0.00199353073995983,0.0101564356383081,0.00390338041104059,0.00990212806640853,0.00220160923422446,0.00542257315515706,0.000276984769441042,0.00288025926967143,0.00598462572023196,0.0131320746430794,0.00195677087962119,0.00163912466535602,0.0176221186640131,0.00730012538874575,0.0161988682834334,0.0115976453230934,0.0136313846334396,0.000813495820820258,0.00249127847271808,0.0142458516369747,0.0123566455245387,0.0110173698633664,0.0116162773290098,0.0030074870686224,0.0131893398021466,0.00438681054079149,0.00774953969118959,0.00479157057347932,0.0133492087155163,0.0146630988410331,0.000313027266951271,0.0115978740137117,0.00854829580126886,0.00829259917962483,0.00267795242947376,0.0124626634484317,0.0120031849997759,0.000226201560709557,0.0082352903807918,0.0154898504083154,0.0108427955701887,0.0176639149438133,0.0165252611388035,0.0047902596234696,0.00630679783552729,0.0137556646141938,0.00353823418392941,0.017229649464016,0.00576930352978165,
4,0.0145141792324231,0.00759583018408845,0.00604302746824772,0.000149829035973261,0.0037269699320712,0.00451897909719924,0.0143082912653936,0.000200289569128617,0.00916071492945009,0.0102527473824156,0.0144866671776922,0.00637093778593723,0.0043542244579452,0.01752714249314,0.000719563759388052,0.000545109597348255,0.00244835739143884,0.00208144890402189,0.0102895897810169,0.00359533114655417,0.00364042259145472,0.0085594278275694,0.00272933260617342,0.00430151221746106,7.8577362586359E-05,0.00358944228462892,0.0109512596668985,0.0111318376161063,0.0133313942790533,0.0104453228532836,0.0117981983535284,0.00555720379550346,0.0111841743583024,0.00158037512616185,0.0011824175191389,0.0142040392816186,0.00359376318563322,0.00195613704112205,0.0120573385566889,0.00317069549078047,0.00211171877586529,0.00259371707802445,0.0034505654543482,0.000735118784563972,0.0102159321882943,0.00817497554248171,0.00973117086800287,0.00357085553843213,0.00418191582156296,0.0124360720161493,0.00389892500235111,0.013115217586314,0.0133031050511028,0.00504914596363172,0.010180448051388,0.0131785721708571,0.00741493316611085,0.00363500028082349,0.0101047605558028,0.00163295473954787,0.00582939992856188,0.00164786413921162,0.00738946960428516,0.00461645052213971,0.0107004110646725,0.0027623037915855,0.00426134317380825,0.00719123526921932,0.00727735918829788,0.000801766477536605,0.00151690919374526,0.00359673995342984,0.00918856155863797,0.00719042183505486,0.00801076146648064,0.0099350013799488,0.00935699561974719,0.0024696274827865,0.0104444990878107,0.00346847982418569,0.00588733051372895,0.0162259751229983,0.0099396431609626,0.00921777882507595,0.0122417222692062,0.0123865115848068,0.00227184008351046,0.011129130164199,0.000319656186301532,0.0128906669027573,0.00337951229367915,0.00556189452112771,0.00745959333510874,0.0146541977305284,0.00244098573571937,0.0101776802409026,0.00697343006140563,0.00824172274466361,0.0102309020414509,0.00719291793482345,
5,0.00894502271010053,0.0111694355215686,0.0155814844081849,0.00935362060134667,0.0127830418030604,0.0140350407330465,0.00149705925346075,0.00364356822994474,0.0144418640426202,0.00676945445438646,0.00854069307382582,0.0107303108938744,0.0121614266171741,0.0103203447074987,0.0126955747154308,0.0075692255279012,0.017629393903734,0.00438732553922162,0.0180007358612664,0.00653779008451457,0.0148160682929801,0.00877657882428629,0.00609557069662109,0.00802354142919509,0.0102558165417895,0.00675766867685544,0.00112039892957771,0.0111364953386528,0.00143304552139722,0.0135938213763815,0.00426382859829453,0.00263777198304897,0.00970493969108101,0.00187284450495093,0.0152162512120584,0.0119828629981843,0.0126248056161966,0.00705442382517501,0.0148996928203311,0.0191177861985407,0.0028384907316096,0.00468301945925494,0.0025169042356778,0.0040753858434261,0.00196298119685153,0.00283724791025144,0.0163459042992749,0.0157627981642166,0.00850644152694556,0.0122459991028295,0.0176426949491796,0.00615307431270835,0.00945268671454844,0.0034497057275961,0.00627400663272686,0.0169722777271124,0.0138145789729584,0.000742685905249946,0.0157798448713316,0.00765844541103033,0.0110995524068177,0.00549816487791016,0.00358971867164504,0.015039182370546,0.00155046314254172,0.0137782254875562,0.00711730567945562,0.0044921228545955,0.00290383094690741,0.0118551081159551,0.0046042565302966,0.00577103768710311,0.0110082916197469,0.0023802465828004,0.00826552964446911,0.00857621634893731,0.00308957750924934,0.0130237053304353,0.0199464484620421,0.00838714105086506,0.00771105136411579,0.00919914767684145,0.00114761968419402,0.00613421016499845,0.00869794018949572,0.0119784210383289,0.0160290936707084,0.0117252203028247,0.0173564577175724,0.0097449398261102,0.00379934516630199,0.00230084701012765,0.0097695205647507,0.0136482095639321,0.000926327839574087,0.00952545358302864,0.00244520537829309,0.00507583100631984,0.00217163127734287,0.00878578234211586,
6,0.00126184286241425,0.0065653827441,0.0110502991962982,0.0177771937955883,0.00338882288033903,0.0172325354446338,0.00564514722735798,0.00774820441488339,0.00425485007734597,0.0114918848767151,0.0187999205358293,0.00293010727507656,0.00136286612163367,0.0186307757035731,0.000966105066991963,0.0108713034651683,0.00638963730558059,0.0138890152837841,0.0143400827082542,0.00878118665202924,0.00615735583740702,0.00440968239412578,0.0060047190798713,0.00605955638468689,0.00397594645107164,0.0133731370278408,0.0131838897932424,0.0183489090124648,0.0173634786311866,0.0181295465676965,0.00307438025214104,0.0124765754602812,0.0201527639080223,0.0155601823797654,0.011159659414921,0.00738103140159562,0.0183996793176195,0.00433395156792446,0.0151772162982169,0.0194989365083081,0.017923573623875,0.0160269301475457,0.0122406070836226,0.0161011236678987,0.0146029153671011,0.0155475869806656,0.0100296333417842,0.0183358260673602,0.0026713679144809,0.0160487867578684,0.00902085226941615,0.00255128475617017,0.00548846458536716,0.00665501836019208,0.0128300996073437,0.00261176398350155,0.00226277697277932,0.0196643763565164,0.0154537370533863,0.00169975588475039,0.0183391351020823,0.000994862058558828,0.0176045079248815,0.007045891821462,0.00997990359525394,0.00685038313515955,0.0152473358198087,0.00945461307228309,0.00677222450682227,0.0010438814996069,0.00701218527020585,0.0200984254428265,0.00951594351709975,0.00306064169065699,0.00344610060310641,0.0206660699013077,0.011739293893437,0.0110678553066775,0.00416680610394074,0.00203003371980371,0.00115347350103391,0.0219608971110834,0.00366487858180661,0.00386473687594136,0.00104861428208847,0.0034796958103855,0.0146356438579243,0.0013766451562654,0.0165184120410868,0.00911742447713677,0.01542012325391,0.00297102291474814,0.015118992505636,0.00764885469173714,0.0159619768911162,0.0204053989433805,0.00707211720709229,0.0110551358319639,0.00262107997643947,0.0142184936018867,
7,0.00850746660960464,0.0159387160087624,0.0149563946271065,0.00653566333170155,0.0114637967324751,0.00321440314105692,0.0155067968616089,0.0103100400477412,0.00809242420383403,0.0214660632194461,0.00628509192475247,0.00772501673616221,0.0221394429428116,0.0221023975818568,0.00447340351482215,0.013518541876234,0.0123342487522791,0.0203370217882527,0.00316728903556878,0.00542768111781704,0.0115755391828909,0.0196707557431162,0.0125915180854684,0.0124301771429275,0.00793813346652428,0.0204994474285408,0.0193165408816085,0.00265960533734538,0.0179111392181042,0.00375897500263648,0.00790593291784521,0.017949303242821,0.0185119385120418,0.0119642515208184,0.00954711305667835,0.00598780003006004,0.000860779882064569,0.00484506599264388,0.0123159209767713,0.00253887118480634,0.011760477025322,0.0124665738693781,0.00591100906202942,0.0152152123203758,0.0198899358941934,0.00057846457121741,0.00497564880694765,0.0058178150461799,0.0140038674559268,0.00729474260163376,0.0128804330941468,0.0179345401315458,0.0043240866328682,0.00285681284427226,0.0217309755668768,0.0261430501442881,0.0192189929663205,0.0169877633652904,0.00939389797765056,0.00179310221375346,0.0158834554571206,0.0214621508469058,0.0224739161355797,0.0221040508828773,0.0135266478415578,0.0164083447718041,0.00498264851026271,0.0145673524517549,0.000340292239764739,0.0189177202775296,0.0145857075983179,0.0199522898774508,0.00716402237848984,0.000850904834506676,0.00146178863587257,0.0147268849849055,0.00579330022350075,0.0133316128375036,0.0143678558083763,0.00477473091953849,0.0138074990949939,0.00749433795341603,0.0157532028459768,9.88651830707878E-05,0.0100228892928011,0.00113066944807192,0.0209979266234243,0.0148594311348328,0.0168661215142061,0.0243242015164176,0.00496162353453671,0.00312232238137074,0.00782236850727329,0.00310288159453195,0.00761501933837826,0.00384632331623203,0.0143609814054148,0.00451773944745441,0.00368100359561572,0.0227401028981383,
